,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Prevalence of anaemia in pregnant women (aged 15-49) (%),Stillbirth rate (per 1000 total births),"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)","Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)"
276,19.605882352941176,16.2,2.83987,0.4235294117647059,57.11176470588235
277,9.7,27.9,11.22757,5.8,45.2
278,10.1,27.5,10.88478,5.6,45.8
279,10.5,27.0,10.6042,5.4,46.5
280,10.8,26.6,10.27286,5.3,47.1
281,11.2,26.0,9.94025,5.1,47.7
282,11.6,25.4,9.56019,4.9,48.3
283,12.0,24.9,9.219,4.8,48.9
284,12.4,24.3,8.98549,4.7,49.5
285,12.8,23.7,8.88518,4.5,50.1
286,13.2,23.2,8.7796,4.4,50.6
287,13.6,22.6,8.7331,4.3,51.2
288,14.0,22.2,8.77268,4.1,51.8
289,14.5,21.9,8.69837,4.0,52.4
290,15.0,21.7,8.46398,3.9,53.0
291,15.5,21.5,8.18798,3.8,53.6
292,16.0,21.4,7.80456,3.7,54.2
293,16.5,21.3,7.42795,3.6,54.8
294,12.905882352941177,21.2,7.08268,4.582352941176471,50.04117647058824
295,12.905882352941177,21.2,6.75303,4.582352941176471,50.04117647058824
296,12.905882352941177,21.2,6.5301,4.582352941176471,50.04117647058824
297,2.1,61.6,27.18339,13.9,21.0
298,2.2,61.4,26.86895,13.7,21.5
299,2.3,61.3,26.55725,13.5,22.0
300,2.4,61.2,26.31745,13.3,22.4
301,2.6,61.0,26.09417,13.1,22.9
302,2.7,60.8,25.76675,12.9,23.5
303,2.8,60.6,25.41352,12.7,24.0
304,3.0,60.4,25.21051,12.5,24.5
305,3.1,60.1,24.99914,12.3,25.0
306,3.3,59.8,24.79832,12.1,25.6
307,3.5,59.5,24.61835,11.9,26.1
308,3.6,59.2,24.40434,11.7,26.6
309,3.8,59.0,23.63326,11.5,27.2
310,4.0,58.8,22.48553,11.3,27.8
311,4.2,58.6,21.51965,11.1,28.4
312,4.5,58.5,21.29328,10.9,28.9
313,4.7,58.4,20.95993,10.7,29.5
314,3.223529411764705,58.3,20.71266,12.3,25.11176470588235
315,3.223529411764705,58.2,20.51671,12.3,25.11176470588235
316,3.223529411764705,58.1,20.34427,12.3,25.11176470588235
317,1.5,47.1,16.3421,17.0,15.8
318,1.6,46.7,16.00699,16.6,16.4
319,1.8,46.3,15.64444,16.3,17.1
320,1.9,45.9,15.24389,15.9,17.7
