,Mean hemoglobin level of women of reproductive age (aged 15-49 years),Prevalence of anaemia in children aged 6–59 months (%),Prevalence of anaemia in non-pregnant women (aged 15-49) (%),Mean hemoglobin level of non-pregnant women (aged 15-49 years)
2953,134.0,5.9,8.1,135.0
2954,134.0,5.8,8.4,134.0
2955,134.0,5.8,8.6,134.0
2956,133.0,5.8,8.9,134.0
2957,133.0,5.8,9.2,134.0
2958,133.0,5.8,9.4,133.0
2959,133.0,5.8,9.8,133.0
2960,133.0,5.8,10.0,133.0
2961,132.0,5.8,10.3,133.0
2962,132.0,5.8,10.5,133.0
2963,132.0,5.8,10.7,132.0
2964,132.0,5.9,11.0,132.0
2965,132.0,5.9,11.2,132.0
2966,132.0,6.0,11.5,132.0
2967,132.0,6.1,11.8,132.0
2968,132.0,23.4,12.8,133.0
2969,132.0,23.4,13.0,132.0
2970,132.0,23.8,13.2,132.0
2971,131.0,24.3,13.5,132.0
2972,131.0,24.6,13.7,132.0
2973,131.0,24.8,13.8,132.0
2974,131.0,24.9,13.8,132.0
2975,131.0,24.5,13.6,132.0
2976,131.0,24.2,13.3,132.0
2977,131.0,23.9,13.1,132.0
2978,132.0,23.5,12.8,132.0
2979,132.0,23.3,12.7,132.0
2980,131.0,23.6,12.8,132.0
2981,131.0,23.8,13.0,132.0
2982,131.0,24.0,13.1,132.0
2983,131.0,24.3,13.4,132.0
2984,131.0,24.5,13.6,132.0
2985,131.0,24.8,14.0,131.0
2986,131.0,25.0,14.3,131.0
2987,131.0,25.1,14.7,131.0
2988,119.0,49.3,46.7,119.0
2989,119.0,47.6,45.0,120.0
2990,120.0,46.0,43.5,120.0
2991,120.0,44.3,41.8,121.0
2992,121.0,42.7,40.2,121.0
2993,122.0,41.2,38.5,122.0
2994,122.0,39.5,36.9,123.0
2995,123.0,37.8,35.3,123.0
2996,123.0,36.0,33.6,124.0
2997,124.0,34.3,32.1,124.0
2998,124.0,32.5,30.6,125.0
2999,125.0,30.7,29.4,125.0
3000,125.0,29.1,28.3,126.0
3001,125.0,27.5,27.3,126.0
3002,126.0,26.0,26.5,126.0
3003,126.0,24.8,25.8,127.0
3004,126.0,23.7,25.2,127.0
3005,126.0,22.8,24.8,127.0
3006,126.0,22.2,24.5,127.0
3007,126.0,21.9,24.3,127.0
3008,126.0,29.1,27.3,127.0
3009,127.0,28.8,26.6,127.0
3010,127.0,28.7,26.1,127.0
3011,127.0,28.7,25.9,127.0
3012,127.0,28.6,25.5,128.0
3013,127.0,28.2,24.9,128.0
3014,128.0,27.7,24.1,128.0
3015,128.0,27.1,23.1,129.0
3016,128.0,26.5,22.3,129.0
3017,129.0,26.1,21.7,129.0
3018,129.0,25.8,21.1,129.0
3019,129.0,25.5,20.7,130.0
3020,129.0,25.6,20.7,129.0
3021,129.0,25.8,20.9,129.0
3022,129.0,26.3,21.3,129.0
3023,128.0,26.7,21.8,129.0
3024,128.0,27.0,22.3,129.0
3025,128.0,27.3,22.9,128.0
3026,128.0,27.7,23.6,128.0
3027,127.0,27.9,24.1,128.0
3028,126.0,33.6,26.7,126.0
3029,126.0,32.2,25.4,127.0
3030,127.0,30.8,24.0,127.0
3031,127.0,29.5,22.7,128.0
3032,128.0,28.2,21.5,128.0
3033,128.0,26.9,20.4,129.0
3034,129.0,25.7,19.4,129.0
3035,129.0,24.5,18.5,129.0
3036,129.0,23.4,17.6,130.0
3037,129.0,22.5,17.1,130.0
3038,130.0,21.9,16.7,130.0
3039,130.0,21.4,16.5,130.0
3040,130.0,21.2,16.5,130.0
3041,130.0,21.1,16.7,130.0
3042,130.0,21.2,17.1,130.0
3043,129.0,21.4,17.5,130.0
3044,129.0,21.6,18.1,130.0
3045,129.0,21.9,18.7,130.0
3046,129.0,22.4,19.5,129.0
3047,129.0,22.9,20.3,129.0
3048,123.0,65.6,34.4,125.0
3049,123.0,64.2,33.9,125.0
3050,123.0,62.6,33.5,125.0
3051,123.0,61.2,33.2,125.0
3052,124.0,59.9,32.8,125.0
3053,124.0,58.7,32.4,125.0
3054,124.0,57.6,31.9,125.0
3055,124.0,56.6,31.4,126.0
3056,124.0,55.8,30.8,126.0
3057,125.0,55.0,30.3,126.0
3058,125.0,54.3,29.8,126.0
3059,125.0,54.0,29.6,127.0
3060,125.0,54.0,29.5,127.0
3061,125.0,53.9,29.6,127.0
3062,125.0,53.9,29.7,126.0
3063,125.0,54.2,29.8,126.0
3064,125.0,54.4,30.0,126.0
3065,125.0,54.6,30.1,126.0
3066,125.0,54.9,30.4,126.0
3067,125.0,55.1,30.7,126.0
3068,125.0,49.8,30.6,126.0
3069,126.0,48.3,30.1,127.0
3070,126.0,46.2,29.7,127.0
3071,126.0,44.3,29.3,127.0
3072,126.0,42.8,29.0,127.0
3073,126.0,41.7,28.8,127.0
3074,126.0,40.5,28.7,127.0
3075,126.0,39.6,28.6,127.0
3076,126.0,38.5,28.6,127.0
3077,126.0,37.8,28.7,127.0
