,Mean hemoglobin level of women of reproductive age (aged 15-49 years),Prevalence of anaemia in children aged 6–59 months (%),Prevalence of anaemia in non-pregnant women (aged 15-49) (%),Mean hemoglobin level of non-pregnant women (aged 15-49 years)
601,134.0,19.7,8.0,134.0
602,134.0,19.5,7.8,134.0
603,134.0,19.5,7.8,134.0
604,134.0,19.5,7.7,134.0
605,134.0,19.5,7.6,134.0
606,134.0,19.4,7.6,134.0
607,134.0,19.3,7.5,134.0
608,134.0,19.3,7.5,134.0
609,134.0,19.3,7.5,134.0
610,134.0,19.3,7.6,134.0
611,134.0,19.3,7.6,134.0
612,134.0,19.3,7.7,134.0
613,134.0,19.4,7.8,134.0
614,134.0,19.5,7.9,134.0
615,134.0,19.7,8.1,134.0
616,134.0,20.1,8.4,134.0
617,130.0,28.5,21.9,130.0
618,130.0,27.0,20.9,130.0
619,130.0,25.8,20.1,131.0
620,131.0,24.6,19.4,131.0
621,131.0,23.6,18.8,131.0
622,131.0,22.6,18.1,131.0
623,131.0,21.7,17.4,132.0
624,132.0,20.8,16.7,132.0
625,132.0,20.1,16.2,132.0
626,132.0,19.5,15.6,132.0
627,132.0,19.0,15.1,133.0
628,132.0,18.6,14.8,133.0
629,133.0,18.3,14.7,133.0
630,133.0,18.2,14.7,133.0
631,133.0,18.1,14.6,133.0
632,133.0,18.2,14.8,133.0
633,133.0,18.3,15.0,133.0
634,133.0,18.4,15.1,133.0
635,133.0,18.5,15.2,133.0
636,133.0,18.8,15.4,133.0
637,125.0,30.2,30.1,126.0
638,125.0,30.0,29.6,126.0
639,126.0,29.8,29.1,126.0
640,126.0,29.5,28.6,126.0
641,126.0,29.3,28.0,126.0
642,126.0,28.9,27.3,127.0
643,127.0,28.5,26.6,127.0
644,127.0,28.0,25.7,127.0
645,127.0,27.5,24.8,128.0
646,128.0,26.9,24.0,128.0
647,128.0,26.3,23.2,129.0
648,129.0,25.6,22.5,129.0
649,129.0,24.9,22.0,129.0
650,129.0,24.3,21.5,129.0
651,129.0,23.8,21.2,130.0
652,129.0,23.3,21.0,130.0
653,129.0,22.9,20.9,130.0
654,129.0,22.5,20.9,130.0
655,129.0,22.3,20.9,130.0
656,129.0,22.2,21.1,130.0
657,122.0,61.3,37.9,124.0
658,123.0,60.5,37.3,124.0
659,123.0,59.9,36.8,124.0
660,123.0,59.4,36.3,124.0
661,123.0,58.8,35.8,124.0
662,123.0,58.2,35.2,125.0
663,124.0,57.5,34.6,125.0
664,124.0,56.8,34.0,125.0
665,124.0,56.2,33.5,125.0
666,124.0,55.5,33.1,125.0
667,124.0,55.0,32.7,126.0
668,125.0,54.4,32.4,126.0
669,125.0,54.1,32.2,126.0
670,125.0,53.9,32.2,126.0
671,125.0,53.8,32.3,126.0
672,125.0,53.8,32.5,126.0
673,124.0,53.9,32.7,125.0
674,124.0,53.9,32.9,125.0
675,124.0,53.9,33.1,125.0
676,124.0,53.9,33.5,125.0
677,130.0,20.1,15.9,130.0
678,130.0,19.9,15.5,131.0
679,130.0,19.8,15.1,131.0
680,131.0,19.7,14.7,131.0
681,131.0,19.7,14.3,131.0
682,131.0,19.6,13.9,131.0
683,131.0,19.5,13.5,132.0
684,131.0,19.4,13.1,132.0
685,132.0,19.3,12.8,132.0
686,132.0,19.1,12.5,132.0
687,132.0,18.9,12.2,132.0
688,132.0,18.8,12.1,132.0
689,132.0,18.7,12.1,132.0
690,132.0,18.6,12.1,132.0
691,132.0,18.6,12.2,132.0
692,132.0,18.6,12.4,132.0
693,132.0,18.6,12.6,132.0
694,132.0,18.7,12.9,132.0
695,132.0,18.8,13.2,132.0
696,131.0,19.0,13.6,132.0
697,129.0,20.5,21.1,129.0
698,129.0,20.2,20.9,129.0
699,129.0,20.0,20.8,129.0
700,129.0,19.8,20.7,129.0
701,129.0,19.7,20.7,129.0
702,129.0,19.5,20.7,129.0
703,129.0,19.4,20.6,129.0
704,129.0,19.2,20.6,129.0
705,129.0,19.0,20.5,129.0
706,129.0,18.8,20.4,129.0
707,129.0,18.7,20.4,129.0
708,129.0,18.7,20.4,129.0
709,129.0,18.7,20.4,129.0
710,129.0,18.7,20.4,129.0
711,129.0,18.8,20.4,129.0
712,129.0,19.0,20.4,129.0
713,129.0,19.2,20.5,129.0
714,129.0,19.4,20.5,129.0
715,129.0,19.8,20.7,129.0
716,129.0,20.2,20.9,129.0
717,131.0,13.4,12.2,131.0
718,131.0,13.2,12.0,131.0
719,131.0,13.1,11.9,131.0
720,131.0,13.0,11.8,131.0
721,131.0,13.0,11.8,131.0
722,131.0,12.9,11.8,131.0
723,131.0,12.9,11.8,131.0
724,131.0,12.9,11.7,131.0
725,131.0,12.8,11.7,131.0
726,131.0,12.8,11.6,131.0
727,131.0,12.8,11.7,131.0
728,131.0,12.9,11.7,131.0
729,131.0,12.9,11.8,131.0
730,131.0,13.1,11.9,131.0
731,131.0,13.2,12.1,131.0
732,131.0,13.4,12.3,131.0
733,131.0,13.7,12.5,131.0
734,131.0,13.9,12.8,131.0
735,131.0,14.2,13.1,131.0
736,131.0,14.5,13.4,131.0
737,131.0,12.9,12.0,131.0
738,131.0,13.0,12.0,131.0
739,131.0,13.1,11.9,131.0
740,131.0,13.0,11.7,131.0
741,131.0,12.8,11.5,131.0
742,131.0,12.7,11.4,131.0
743,131.0,12.7,11.4,131.0
744,131.0,12.6,11.3,131.0
745,131.0,12.5,11.2,132.0
746,131.0,12.5,11.1,132.0
