,per_capita-Protein-Energy Malnutrition,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),per_capita-Lower Respiratory Infections,Maternal mortality ratio (per 100 000 live births),per_capita-Nutritional Deficiencies
2644,2.6016260162601622e-05,3.61783,0.0002397212543554,159.0,2.6016260162601622e-05
2645,2.3815674011054138e-05,3.55217,0.0002363247651866,148.0,2.5647648934981377e-05
2646,2.1693581773052595e-05,3.48589,0.0002332060040603,139.0,2.350138025414031e-05
2647,2.1422565459326585e-05,3.42037,0.0002338630062643,134.0,2.32077792476038e-05
2648,2.1169770978360967e-05,3.35518,0.0002452165138326,129.0,2.2933918559891045e-05
2649,2.2675301886759544e-05,3.2908,0.0002564053367195,124.0,2.441955587804874e-05
2650,2.2427984604051184e-05,3.22598,0.0002639601264938,122.0,2.41532141889782e-05
2651,2.219096520456656e-05,3.15719,0.0002679985797782,121.0,2.3897962527994755e-05
2652,2.1962464458819533e-05,3.08264,0.0002686178345347,120.0,2.3651884801805653e-05
2653,2.1962464458819533e-05,3.01136,0.0002719966752207,159.55555555555554,2.3651884801805653e-05
2654,2.152948794597092e-05,2.93336,0.0002699466565533,159.55555555555554,2.484171686073568e-05
2655,8.06852056615464e-06,1.15385,0.000387401049961,5.0,1.0309776278975372e-05
2656,8.501199396191128e-06,1.12824,0.0003666701529041,5.0,1.0738357132030898e-05
2657,8.71102027825009e-06,1.10292,0.0003584919883741,5.0,1.1056294968548192e-05
2658,8.472397708617744e-06,1.07721,0.0003406795710202,5.0,1.0701976052990836e-05
2659,8.457224249977744e-06,1.05136,0.0003249354580254,5.0,1.057153031247218e-05
2660,8.664958707028192e-06,1.02489,0.0003164931712349,5.0,1.0775653776688906e-05
2661,9.094341146037815e-06,0.99829,0.0003074330933758,5.0,1.1423379732218232e-05
2662,9.0797476450235e-06,0.97203,0.0003029535311802,5.0,1.1405048871188057e-05
2663,9.06539232309412e-06,0.94567,0.0002970574289287,5.0,1.1497570751241323e-05
2664,9.161500812779652e-06,0.92038,0.00028897360395,5.0,1.1479470897940771e-05
2665,9.477570942649123e-06,0.896,0.0002813516118207,4.0,1.1791861521668097e-05
2666,9.682322982930064e-06,0.87229,0.0002891493727175,5.0,1.1992877331129284e-05
2667,1.0105683480327093e-05,0.84987,0.0002929549765438,5.0,1.2302571193441677e-05
2668,1.052698180575679e-05,0.82807,0.0002922334011702,5.0,1.261044695481282e-05
2669,1.105542654517373e-05,0.80695,0.0002878789288495,5.0,1.324461992045566e-05
2670,1.1580970760670936e-05,0.78651,0.0002980461154255,4.0,1.3656805142300632e-05
2671,1.210363063121415e-05,0.7666,0.0003022636406281,4.0,1.4284464979180665e-05
2672,1.2079444876595956e-05,0.74681,0.000308842023061,4.0,1.4364745258654653e-05
2673,1.1861797221161794e-05,0.72752,0.0003093861421996,4.777777777777778,1.4147097603220487e-05
2674,1.1596978759428913e-05,0.70873,0.0003084579584049,4.777777777777778,1.376463834063058e-05
2675,4.4035162076918416e-06,1.3155,0.0002939347068634,7.0,6.605274311537763e-06
2676,4.376824332188931e-06,1.26294,0.0002701321267522,7.0,6.428460737902492e-06
2677,4.6184626849269815e-06,1.21308,0.0002665124643478,7.0,6.520182614014562e-06
2678,4.589435201156969e-06,1.16583,0.0002598430224184,7.0,6.479202636927486e-06
2679,4.563227339851858e-06,1.12157,0.0002477564020401,7.0,6.307990734501099e-06
2680,4.539767697416472e-06,1.0791,0.0002424770040737,7.0,6.142038649445814e-06
2681,4.65182177302459e-06,1.03837,0.0002300658139744,7.0,6.24673209520445e-06
2682,4.8976386895454346e-06,0.99912,0.0002229087446809,6.0,6.618430661547884e-06
2683,5.144087201511043e-06,0.96186,0.0002160516624634,6.0,6.858782935348057e-06
2684,5.654571188223974e-06,0.92608,0.0002146107018414,6.0,7.627096021325361e-06
2685,6.427546206842634e-06,0.89241,0.0002077802692171,6.0,8.263987980226244e-06
2686,6.937208187319281e-06,0.86079,0.000207985354899,6.0,9.031459715566611e-06
2687,7.967994265134095e-06,0.83128,0.0002131765023065,6.0,1.0057959974021726e-05
2688,8.734788105773851e-06,0.80339,0.0002175874828139,6.0,1.1081447596877274e-05
2689,9.369466159049812e-06,0.7775,0.0002205728491609,5.0,1.1711832698812264e-05
2690,1.0262656453548098e-05,0.75349,0.0002357812843441,5.0,1.2860797327864074e-05
2691,1.0116398240576767e-05,0.73092,0.0002333256465999,5.0,1.2710346507391326e-05
2692,9.84226475692196e-06,0.70957,0.0002382864099044,5.0,1.2302830946152452e-05
2693,9.84226475692196e-06,0.68818,0.0002451500945375,6.166666666666667,1.2302830946152452e-05
2694,9.816464406597956e-06,0.66671,0.000251353154411,6.166666666666667,1.2270580508247444e-05
2695,8.863933341278494e-06,6.08401,0.0001179024558134,26.0,1.0806713251695698e-05
2696,7.876781085301986e-06,5.59432,0.0001098011438507,26.0,9.712722541274627e-06
2697,7.22550954004256e-06,5.12422,0.0001067063248873,26.0,9.075239982293456e-06
2698,5.701269723570833e-06,4.71824,9.472010491239462e-05,25.0,7.338267961031765e-06
2699,5.237963435707031e-06,4.42202,9.621311784535549e-05,26.0,6.781784237810156e-06
2700,5.063926687270743e-06,4.24617,0.0001018711209109,25.0,6.57233038135139e-06
2701,4.812994962191596e-06,4.15874,0.0001089392945743,26.0,6.3138213482513405e-06
2702,4.490494355595024e-06,4.13225,0.0001126528366599,26.0,5.905976272032586e-06
2703,4.6893634357953e-06,4.1391,0.0001259094082511,26.0,6.049278832175936e-06
2704,4.273312227765888e-06,4.15579,0.000130864443276,26.0,5.559900855480348e-06
2705,3.874203704729817e-06,4.16337,0.0001358223740669,27.0,5.09052347249383e-06
2706,3.996846931864862e-06,6.78176,0.0001382464944321,28.0,5.240310421778375e-06
2707,3.905773914454497e-06,27.45521,0.0001343941296928,28.0,5.148520159962746e-06
2708,6.420858028889687e-06,4.77426,0.0009319875428933,53.0,3.531471915889328e-05
2709,7.098795034755701e-06,4.22729,0.000868892512254,52.0,3.61249791768679e-05
2710,7.439540943126104e-06,3.78819,0.0008092050680012,43.0,3.5337819479848994e-05
2711,7.308329912628916e-06,3.43843,0.0007536715222398,35.0,3.4105539592268273e-05
2712,6.877545158933341e-06,3.15459,0.0007061444736009,33.0,3.2294559876730466e-05
2713,5.722846085815398e-06,2.92064,0.0006591544773713,32.0,2.788053221294681e-05
2714,4.608253785752489e-06,2.72246,0.0006327708479561,29.0,2.3329284790371976e-05
2715,3.532770972718812e-06,2.54987,0.0006041038363349,27.0,1.96422066083166e-05
2716,2.773200456357867e-06,2.39835,0.000577103014968,26.0,1.6361882692511414e-05
2717,2.1771240055816016e-06,2.25983,0.0005543501999212,26.0,1.347095478453616e-05
2718,1.602673473042832e-06,2.13305,0.0005322211491729,23.0,1.0951602065792684e-05
2719,1.0488777008600796e-06,2.01711,0.0005138189637088,22.0,9.046570169918188e-06
2720,7.72361308045366e-07,1.91283,0.0004954697791111,21.0,7.208705541756748e-06
2721,5.056863801338072e-07,1.82536,0.0004755980405158,20.0,5.688971776505331e-06
2722,3.726008232987792e-07,1.74879,0.0004621492211649,19.0,4.595410154018277e-06
2723,2.441418767039577e-07,1.67873,0.0004443382156012,18.0,3.6621281505593656e-06
2724,1.2003438745131705e-07,1.61724,0.0004246816628027,17.0,2.760790911380292e-06
2725,2.361677995832819e-07,1.55894,0.0004101053839763,17.0,2.952097494791024e-06
2726,2.361677995832819e-07,1.50763,0.0003951087287028,28.5,2.952097494791024e-06
2727,2.2883104065606773e-07,1.46139,0.0003751684911556,28.5,2.860388008200846e-06
2728,0.0003321060793566,19.50543,0.001254385663079,854.0,0.0003442382146242
2729,0.0003037557401156,18.65018,0.001184415953506,819.0,0.0003145463011692
2730,0.0002884427550505,17.81069,0.0011497012811538,788.0,0.0002982779577506
2731,0.000282274675304,17.01011,0.0011290158255039,763.0,0.0002914462541062
2732,0.0002711546006203,16.26144,0.0010914580948001,741.0,0.0002798055948575
2733,0.0002612351500777,15.56256,0.0010354358451797,721.0,0.0002692837449518
2734,0.0002448628073411,14.94499,0.0010146353493946,703.0,0.0002524856012164
2735,0.0002395883184089,14.39803,0.0009875527825557,685.0,0.0002469262819549
2736,0.0002248766324258,13.93301,0.0009440939234817,666.0,0.0002319141296033
2737,0.0002237108016432,13.55348,0.0009346497458179,656.0,0.0002306294412672
2738,0.0002129955398643,13.26278,0.0009032318987925,644.0,0.0002197031210255
2739,0.0002046945466097,13.04192,0.0008785022067241,628.0,0.0002112447721012
2740,0.0002019870924583,12.90054,0.0008727392789049,615.0,0.000208477650783
2741,0.0001944428573292,12.79125,0.000840148805922,593.0,0.0002008313084492
2742,0.0001746845391047,12.63891,0.0007896235661871,574.0,0.0001807774157372
2743,0.0001758998056668,12.45147,0.0007962864738968,556.0,0.0001819055059219
2744,0.0001679738783252,12.2365,0.0007688485954247,539.0,0.0001738762967314
2745,0.0001590858781276,11.96321,0.0007351225996409,524.0,0.000164890249603
2746,0.0001478124057313,11.69007,0.0007103754418342,670.5,0.0001535748683874
2747,0.0001342618004814,11.45547,0.0006697862993923,670.5,0.0001398247421617
2748,1.6040896175953737e-05,5.89988,0.0001781460252048,43.0,1.848014624903432e-05
2749,1.3481869658630725e-05,6.03953,0.0001781017501871,43.0,1.5453653211557692e-05
2750,1.2297766178387546e-05,6.1209,0.0001884437779857,44.0,1.4079589997248357e-05
2751,1.1133219632366876e-05,6.10731,0.0001944128608426,44.0,1.2743983323858254e-05
2752,1.1147004500442367e-05,7.71462,0.0002030291255706,46.0,1.2558017728346466e-05
2753,1.1006412675402054e-05,5.86551,0.000209962500358,43.0,1.2251834194542314e-05
2754,1.0761085835615633e-05,5.68858,0.0002225967712289,42.0,1.1889762941937389e-05
2755,1.0582108747340036e-05,5.50847,0.0002374907802033,42.0,1.1641855486914e-05
2756,1.0453060995030082e-05,5.33984,0.0002526130973893,43.0,1.1444957293828555e-05
2757,1.0251757691153728e-05,5.17787,0.0002657571032245,43.0,1.119200765691043e-05
2758,1.031110347861658e-05,5.01711,0.0002853040123337,42.0,1.1230660952586772e-05
2759,1.0116883426764376e-05,4.86017,0.0002998344488184,41.0,1.1001173978140817e-05
2760,1.0165284545691076e-05,4.71255,0.0003154219231025,39.0,1.1029780885353954e-05
2761,1.0496956772108696e-05,4.57825,0.0003347313461072,39.0,1.1342050749524226e-05
2762,1.0901213819918674e-05,4.46625,0.0003605071238768,38.0,1.1712535552118304e-05
