,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)","Mean total cholesterol,  crude","Prevalence of treatment (taking medicine) for hypertension among adults aged 30-79 with hypertension, age-standardized",Mean hemoglobin level of pregnant women (aged 15-49 years),Prevalence of anaemia in pregnant women (aged 15-49) (%),"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",Mean BMI (kg/m²) (age-standardized estimate)
298,21.5,3.9,9.1,104.0,61.4,13.7,21.8
299,22.0,3.9,9.5,104.0,61.3,13.5,21.9
300,22.4,3.9,10.0,104.0,61.2,13.3,21.9
301,22.9,3.9,10.4,104.0,61.0,13.1,22.0
302,23.5,3.9,10.9,104.0,60.8,12.9,22.1
303,24.0,3.9,11.4,104.0,60.6,12.7,22.1
304,24.5,3.9,11.9,104.0,60.4,12.5,22.2
305,25.0,3.9,12.4,104.0,60.1,12.3,22.3
306,25.6,3.9,12.9,105.0,59.8,12.1,22.3
307,26.1,4.0,13.5,105.0,59.5,11.9,22.4
308,26.6,4.0,14.1,105.0,59.2,11.7,22.4
309,27.2,4.0,14.7,105.0,59.0,11.5,22.4
310,27.8,4.0,15.3,105.0,58.8,11.3,22.5
311,28.4,4.0,15.9,105.0,58.6,11.1,22.5
312,28.9,4.0,16.6,105.0,58.5,10.9,22.5
313,29.5,4.0,17.2,105.0,58.4,10.7,22.6
314,25.11176470588235,4.1,17.9,105.0,58.3,12.3,22.21176470588236
315,25.11176470588235,4.1,18.7,105.0,58.2,12.3,22.21176470588236
316,25.11176470588235,3.9578947368421056,19.4,105.0,58.1,12.3,22.21176470588236
317,15.8,4.2,14.1,110.0,47.1,17.0,22.0
318,16.4,4.2,14.6,110.0,46.7,16.6,22.1
319,17.1,4.2,15.2,111.0,46.3,16.3,22.2
320,17.7,4.2,15.7,111.0,45.9,15.9,22.3
321,18.4,4.2,16.2,111.0,45.5,15.5,22.4
322,19.1,4.2,16.7,111.0,45.1,15.1,22.5
323,19.8,4.2,17.2,111.0,44.6,14.7,22.6
324,20.6,4.2,17.6,111.0,44.1,14.3,22.7
325,21.3,4.2,18.0,112.0,43.5,13.9,22.8
326,22.0,4.2,18.4,112.0,43.0,13.6,22.9
327,22.7,4.2,18.8,112.0,42.4,13.2,22.9
328,23.4,4.1,19.1,112.0,41.9,12.8,23.0
329,24.2,4.1,19.4,112.0,41.3,12.5,23.1
330,24.9,4.1,19.6,113.0,40.8,12.1,23.2
331,25.6,4.1,19.9,113.0,40.3,11.8,23.3
332,26.4,4.1,20.1,113.0,39.9,11.4,23.4
333,27.1,4.1,20.4,113.0,39.4,11.1,23.5
334,21.323529411764707,4.1,20.6,113.0,39.0,13.988235294117649,22.758823529411764
335,21.323529411764707,4.1,20.8,113.0,38.6,13.988235294117649,22.758823529411764
336,21.323529411764707,4.157894736842105,21.1,114.0,38.2,13.988235294117649,22.758823529411764
337,45.9,4.4,25.1,115.0,35.3,2.7,23.7
338,46.6,4.4,26.0,114.0,35.6,2.6,23.8
339,47.3,4.4,26.9,114.0,36.0,2.5,23.9
340,47.9,4.4,27.9,114.0,36.1,2.4,23.9
341,48.6,4.4,28.9,114.0,36.2,2.3,24.0
342,49.2,4.4,29.8,114.0,36.3,2.2,24.1
343,49.9,4.4,30.8,114.0,36.3,2.2,24.2
344,50.5,4.4,31.7,114.0,36.2,2.1,24.3
345,51.2,4.4,32.6,114.0,36.3,2.0,24.4
346,51.8,4.4,33.5,114.0,36.2,1.9,24.6
347,52.4,4.4,34.3,115.0,36.1,1.9,24.7
348,53.1,4.4,35.1,115.0,35.9,1.8,24.8
349,53.7,4.4,35.8,115.0,35.7,1.7,24.9
350,54.3,4.4,36.5,115.0,35.5,1.7,25.0
351,54.9,4.4,37.1,115.0,35.8,1.6,25.1
352,55.5,4.4,37.6,115.0,35.4,1.6,25.2
