,Mean hemoglobin level of non-pregnant women (aged 15-49 years),per_capita-Maternal Disorders,Stillbirth rate (per 1000 total births),Prevalence of anaemia in non-pregnant women (aged 15-49) (%),Mean hemoglobin level of women of reproductive age (aged 15-49 years)
401,128.0,1.2081167946187292e-05,9.15166,24.9,128.0
402,129.0,1.164592953968175e-05,8.93773,24.2,128.0
403,129.0,1.1396100198106211e-05,8.7878,23.6,128.0
404,129.0,1.11696364767035e-05,8.66998,22.8,129.0
405,129.0,1.1383164382387293e-05,8.58518,21.9,129.0
406,130.0,1.1940267626230114e-05,8.54016,20.9,130.0
407,130.0,1.1362318181029805e-05,8.46821,19.8,130.0
408,131.0,1.09620137417838e-05,8.42015,19.0,130.0
409,131.0,1.0738058190417184e-05,8.38228,18.3,131.0
410,131.0,1.0814344261632924e-05,8.32989,17.6,131.0
411,131.0,1.06625922273785e-05,8.28527,17.1,131.0
412,132.0,1.0303934807098662e-05,8.17096,16.7,131.0
413,132.0,1.015482025912192e-05,8.22515,16.4,131.0
414,132.0,9.9782139711766e-06,7.79149,16.2,131.0
415,132.0,9.202489793870878e-06,7.6142,16.1,131.0
416,132.0,8.770221819985554e-06,7.47693,16.0,131.0
417,130.0,6.148227619682936e-06,5.08424,16.6,129.0
418,130.0,6.012252971556031e-06,5.0384,16.1,129.0
419,130.0,5.882543258752489e-06,4.96691,15.8,129.0
420,130.0,5.759373380176237e-06,4.86333,15.6,130.0
421,130.0,5.644854009963167e-06,4.74701,15.3,130.0
422,130.0,5.538478579934092e-06,4.62589,15.1,130.0
423,130.0,5.437457010105514e-06,4.52786,15.1,130.0
424,130.0,5.339356127044639e-06,4.45251,15.1,130.0
425,130.0,5.244237238804209e-06,4.38937,14.9,130.0
426,130.0,5.152116231742188e-06,4.32779,14.7,130.0
427,131.0,5.062945064514578e-06,4.28432,14.5,130.0
428,131.0,4.976486103162557e-06,4.2517,14.5,130.0
429,131.0,4.892535458650736e-06,4.25501,14.4,130.0
