,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),per_capita-Lower Respiratory Infections,Prevalence of anaemia in children aged 6–59 months (%),per_capita-Nutritional Deficiencies,Stillbirth rate (per 1000 total births),per_capita-Tuberculosis,Mean hemoglobin level of children aged 6-59 months,per_capita-Diarrheal Diseases
219,2.45726,0.0005068460418944,22.1,2.8962630965396896e-05,8.44198,7.240657741349224e-06,119.0,1.8101644353373065e-05
220,2.42537,0.0005404490050333,22.4,2.882394693511369e-05,8.45959,7.205986733778423e-06,119.0,1.801496683444605e-05
221,2.3914,0.0005487450595011,22.5,2.8692552130780653e-05,8.48007,7.173138032695163e-06,119.0,1.793284508173791e-05
222,2.35676,0.0005392144609462,22.5,2.856765356006528e-05,8.53042,7.14191339001632e-06,119.0,1.7854783475040797e-05
223,2.31891,0.0005263026880554,22.5,2.844879394894153e-05,8.55103,7.1121984872353815e-06,119.0,1.7780496218088456e-05
224,2.27802,0.0005206138284949,22.4,2.8332725360268312e-05,8.50838,7.083181340067078e-06,119.0,1.7707953350167695e-05
225,2.24151,0.0005079400912881,22.2,2.4691532215394817e-05,8.49794,7.054723490112805e-06,119.0,1.7636808725282012e-05
226,2.20175,0.0004778821388036,22.1,2.45968747913658e-05,8.46461,7.027678511818798e-06,119.0,1.4055357023637596e-05
227,2.16253,0.0004761021239055,21.9,2.4505256377492973e-05,8.40477,7.0015018221408496e-06,119.0,1.40030036442817e-05
228,2.12073,0.0004813309848101,21.8,2.0927434122181337e-05,8.33981,6.975811374060445e-06,119.0,1.395162274812089e-05
229,2.07741,0.0004830867505638,21.5,2.085266549196651e-05,8.30298,6.950888497322171e-06,119.0,1.390177699464434e-05
230,2.03076,0.000484890466707,21.3,2.078102000173176e-05,8.1703,6.927006667243917e-06,119.0,1.3854013334487834e-05
231,1.98654,0.0004936481634907,21.1,2.071251035625518e-05,8.03267,6.904170118751726e-06,119.0,1.3808340237503452e-05
232,1.94044,0.0005024018939863,20.8,2.408776204043991e-05,7.89507,6.882217725839974e-06,119.0,1.3764435451679949e-05
233,1.89087,0.0005111579958489,20.6,2.401413403317381e-05,7.75926,6.861181152335375e-06,120.0,1.7152952880838437e-05
234,1.84165,0.0005199496469815,20.3,2.394504953204532e-05,7.63029,6.84144272344152e-06,120.0,1.7103606808603797e-05
235,1.78923,0.0005370532537901,20.1,2.394504953204532e-05,7.51074,6.84144272344152e-06,120.0,1.7103606808603797e-05
236,1.73912,0.0005580622988083,20.0,2.722255116138209e-05,7.40215,6.805637790345522e-06,120.0,1.7014094475863805e-05
237,2.93903,0.000146605981823,24.8,6.478170508836374e-06,5.00399,6.57783467051078e-05,118.0,3.3885814969297955e-06
238,2.84075,0.0001503031713969,24.0,6.600139262938448e-06,4.76324,7.330154666263459e-05,118.0,3.1000654113801803e-06
239,2.74458,0.0001557981470768,23.4,5.9265574967989055e-06,4.53488,8.257000444692712e-05,118.0,2.5112531766097057e-06
240,2.64935,0.000149113446358,22.8,5.451676440984088e-06,4.31477,8.339045815283068e-05,118.0,2.1200963937160344e-06
241,2.55761,0.0001474236225403,22.2,5.478923342861587e-06,4.07406,8.147361933921953e-05,119.0,1.8263077809538625e-06
242,2.46777,0.0001523070853378,21.4,5.6070212139098985e-06,3.81261,8.58383974929479e-05,119.0,1.6311334440465158e-06
243,2.38013,0.0001475567228112,20.7,5.32473947688121e-06,3.51496,8.263586072775262e-05,119.0,1.433583705314172e-06
244,2.29337,0.0001392327575808,19.8,5.038703930178783e-06,3.18957,7.732868072437642e-05,119.0,1.2339683094315386e-06
245,2.20747,0.0001407219334594,18.9,4.749236198926095e-06,2.91108,7.52650693264592e-05,120.0,1.1356869171345009e-06
246,2.12033,0.0001463434907669,18.1,4.871206845641716e-06,2.67479,7.265353188925197e-05,120.0,1.243712386121289e-06
247,2.0296,0.0001478263185358,17.5,5.305518821484064e-06,2.47825,7.19886083228818e-05,120.0,1.2483573697609562e-06
248,1.93723,0.0001493074639532,17.1,5.638183953477883e-06,2.34778,6.974642372080048e-05,120.0,1.3573405813928236e-06
249,1.84443,0.0001295206071372,16.9,5.23950676121671e-06,2.27686,5.627230261546747e-05,120.0,1.3622717579163446e-06
250,1.75111,0.0001245221305484,16.8,5.574048073535366e-06,2.24436,4.932506691486956e-05,120.0,1.4723900571602854e-06
251,1.6584,0.0001211783176945,16.8,5.59446937091353e-06,2.23789,4.285574650171497e-05,120.0,1.4777843621281024e-06
252,1.56676,0.0001201458787102,16.9,5.191488586247471e-06,2.24542,3.72939588236553e-05,120.0,1.3773337065554516e-06
253,1.47714,0.0001209223278771,17.1,4.998548293952927e-06,2.21675,3.4458077600866984e-05,120.0,1.3825771876891073e-06
254,1.39157,0.0001227846315921,17.3,5.018154508550241e-06,2.13455,3.331200439718458e-05,120.0,1.388000183216024e-06
255,1.31263,0.0001223575546127,17.5,4.91138526368747e-06,2.08009,3.235108119341964e-05,120.0,1.388000183216024e-06
256,1.24272,0.000124337847138,17.8,4.844331706678514e-06,2.01987,3.208024107978216e-05,120.0,1.399473604151571e-06
257,1.44741,0.0005132692974348,13.8,1.802483295851424e-05,3.3881,1.3835277189778496e-05,121.0,2.54296292009309e-05
258,1.39615,0.0005133273200611,13.6,1.9919004469533105e-05,3.34496,1.370038844002033e-05,121.0,3.0024255517491364e-05
259,1.3473,0.0005294817576079,13.6,2.2110227240769702e-05,3.38393,1.318855659975737e-05,121.0,3.588063192581049e-05
260,1.29992,0.0005378080199604,13.6,2.3909031844894463e-05,3.38729,1.2874094070327788e-05,121.0,4.249419020205939e-05
261,1.2548,0.0005210529753941,13.6,2.473842019675548e-05,3.30779,1.2079306736697012e-05,121.0,4.822059249289447e-05
262,1.21207,0.000526514445426,13.8,2.605074221459096e-05,3.23515,1.196404457262696e-05,121.0,5.383820057682132e-05
263,1.172,0.0005152678945034,14.0,2.659198558020677e-05,3.21621,1.146538508711814e-05,121.0,5.790501207863867e-05
264,1.13423,0.0005146154442753,14.2,2.77130231771326e-05,3.1894,1.1739544540313115e-05,121.0,6.216185059870715e-05
265,1.09818,0.0005224938102841,14.3,2.8931316573866982e-05,3.1387,1.1630197028032909e-05,121.0,6.785883555199366e-05
266,1.06459,0.0005149632199306,14.5,2.938257417467614e-05,3.0803,1.0946449202330326e-05,121.0,7.249622059438067e-05
267,1.03313,0.0005094261587742,14.6,3.02201958594878e-05,3.08361,1.0457147138679904e-05,121.0,7.473502404616188e-05
268,1.0035,0.0005119121673757,14.9,3.086811196535256e-05,3.13439,9.96982498259834e-06,121.0,7.611577919406811e-05
269,0.975,0.0005269030468695,15.2,3.1997385028078666e-05,3.12393,9.867457059557193e-06,121.0,7.779004982874214e-05
