,"Mean HDL cholesterol, age-standardized","Medical doctors (per 10,000)","Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, crude","Prevalence of hypertension among adults aged 30-79 years, crude","Mean total cholesterol,  age-standardized",per_capita-Neoplasms
219,1.1,17.858249999999998,49.6,38.0,4.3,0.0020527264696725
220,1.1,17.858249999999998,50.5,38.4,4.3,0.0021221630930977
221,1.1,17.858249999999998,51.4,38.9,4.3,0.0021734608239066
222,1.0,17.698,52.3,39.4,4.3,0.0021390030603098
223,1.0,17.858249999999998,53.2,39.9,4.3,0.0021549961416323
224,1.0,17.858249999999998,54.2,40.4,4.3,0.0021816198527406
225,1.0,17.858249999999998,55.2,40.9,4.3,0.0021975463671701
226,1.0,17.858249999999998,56.2,41.4,4.3,0.0021926356956874
227,1.0,17.858249999999998,57.1,41.9,4.3,0.002240480583085
228,1.0,17.858249999999998,58.1,42.3,4.3,0.0022741145079437
229,1.0,17.858249999999998,59.0,42.6,4.3,0.0022937932041163
230,1.0,17.858249999999998,59.9,42.8,4.3,0.002344791756862
231,1.0,17.858249999999998,60.7,43.1,4.3,0.0024026512013256
232,1.0,17.858249999999998,61.5,43.4,4.3,0.0024466284015361
233,1.0,17.858249999999998,62.3,43.7,4.4,0.0025009005300262
234,1.0,24.878,63.1,44.0,4.4,0.0025586995785671
235,1.0,17.858249999999998,63.8,44.3,4.4,0.002657900498057
236,1.0263157894736843,17.858249999999998,64.5,44.6,4.315789473684211,0.0028073255885175
237,1.4,32.998,44.7,54.5,5.2,0.0021728780528253
238,1.4,45.8327,45.5,54.6,5.2,0.0022301470561028
239,1.4,45.8327,46.4,54.8,5.2,0.002252794999673
240,1.4,45.8327,47.2,55.0,5.2,0.0021703729653384
241,1.4,45.8327,48.0,55.1,5.1,0.0021462160272509
242,1.4,45.8327,48.8,55.2,5.1,0.0021838837898977
243,1.4,45.8327,49.6,55.3,5.1,0.0021291789988998
244,1.4,45.8327,50.4,55.4,5.1,0.0020489015471186
245,1.4,45.8327,51.3,55.4,5.0,0.0020731448450964
246,1.4,45.8327,52.2,55.3,5.0,0.0021067451393906
247,1.4,45.8327,53.1,55.2,5.0,0.0021850415162049
248,1.4,47.611,54.1,55.1,5.0,0.0022115254503447
249,1.4,48.352,55.1,54.9,4.9,0.0020144855595526
250,1.4,48.534,56.1,54.8,4.9,0.0020059211114441
251,1.4,50.12,57.1,54.6,4.9,0.002009153396339
252,1.4,51.905,58.1,54.4,4.9,0.0019964981820254
253,1.4,43.954,59.1,54.1,4.8,0.0020233485381373
254,1.4,44.484,60.0,53.9,4.8,0.0020682270422367
255,1.4,44.987,60.9,53.6,4.8,0.0020694015039302
256,1.4,45.382,61.9,53.4,5.010526315789474,0.0021172959112656
257,1.4,28.204,48.4,44.1,5.3,0.002870820016879
258,1.4,28.397,49.4,44.3,5.3,0.0028399642079781
259,1.4,28.497,50.3,44.5,5.2,0.0028403884029918
260,1.4,28.454,51.2,44.7,5.2,0.002805003744135
261,1.4,28.522,52.1,44.8,5.1,0.0027845217889433
262,1.4,28.521,53.0,45.0,5.1,0.00278260520544
263,1.4,28.664,54.0,45.0,5.0,0.0027563171140527
264,1.4,28.855,55.0,45.0,5.0,0.0027654325454431
265,1.4,29.021,55.9,44.9,5.0,0.0027367487601585
266,1.4,29.078,56.9,44.8,4.9,0.0028859257085617
267,1.4,29.085,57.9,44.5,4.9,0.0029799991231346
268,1.4,29.219,58.8,44.1,4.9,0.0030375372538327
269,1.4,29.393,59.7,43.6,4.8,0.0031165836219564
270,1.4,29.585,60.6,43.0,4.8,0.0031587661289426
271,1.4,29.723,61.5,42.5,4.8,0.0031419146108551
272,1.5,30.138,62.3,41.9,4.7,0.0031774210257915
273,1.5,30.679,63.2,41.3,4.7,0.003160129752076
274,1.5,30.709,64.0,40.7,4.7,0.0031725088239165
275,1.5,31.146,64.8,40.1,4.6,0.0031990850142694
276,1.4210526315789471,31.495,65.6,39.6,4.947368421052632,0.0032388153267484
277,1.2,10.15,31.4,30.5,4.5,0.0006491830776922
278,1.2,10.2534,31.8,30.4,4.5,0.0006322676416416
279,1.2,10.2534,32.1,30.4,4.4,0.0006123276871617
280,1.2,10.2534,32.5,30.3,4.4,0.0006120362146306
281,1.2,10.2534,32.8,30.3,4.4,0.0006190372150608
282,1.2,10.2534,33.2,30.4,4.5,0.0006185808901165
283,1.2,10.2534,34.2,31.1,4.5,0.0006320475910999
284,1.2,10.2534,35.2,31.8,4.5,0.0006347374495095
285,1.2,10.2534,36.2,32.6,4.5,0.0006240249609984
286,1.2,7.658,37.3,33.3,4.5,0.0006333245642239
287,1.2,10.2534,38.4,33.9,4.5,0.0006517827051843
288,1.2,10.2534,39.2,34.2,4.5,0.0006633137660962
289,1.2,11.45,39.9,34.4,4.5,0.0006682554261425
290,1.2,10.2534,40.7,34.6,4.5,0.000682028256311
291,1.2,10.2534,41.4,34.8,4.5,0.0007041344427362
292,1.2,10.2534,42.1,35.0,4.5,0.0007225745532848
293,1.2,10.2534,42.8,35.2,4.5,0.000731932017928
294,1.2,11.229,43.4,35.4,4.5,0.0007520549693905
295,1.2,10.78,44.1,35.6,4.5,0.000796456738801
296,1.2,10.2534,44.8,35.9,4.484210526315789,0.0008010566446175
297,1.1,0.5825714285714286,13.2,31.8,3.9,0.000418182477429
298,1.1,0.5825714285714286,13.5,31.9,3.9,0.0004155574655147
299,1.1,0.5825714285714286,13.8,32.0,3.9,0.0004178647366751
300,1.1,0.5825714285714286,14.1,32.1,4.0,0.0004163861738401
301,1.1,0.401,14.4,32.2,4.0,0.0004174399558061
302,1.1,0.5825714285714286,14.8,32.2,4.0,0.0004151608140649
303,1.1,0.5825714285714286,15.3,32.2,4.0,0.0004162252910588
304,1.1,0.5825714285714286,15.7,32.1,4.0,0.0004156721821448
305,1.1,0.623,16.3,32.0,4.0,0.0004202731025097
306,1.1,0.5825714285714286,16.9,31.7,4.0,0.000427100972812
307,1.1,0.558,17.6,31.4,4.0,0.000432420017204
308,1.1,0.577,18.3,30.9,4.0,0.0004381754400413
309,1.1,0.5825714285714286,19.1,30.4,4.0,0.0004403681423496
310,1.1,0.5825714285714286,20.0,29.9,4.1,0.0004418215033027
311,1.1,0.5825714285714286,20.9,29.3,4.1,0.0004413144320054
312,1.1,0.5825714285714286,21.9,28.7,4.1,0.0004414925683679
