,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),Neonatal mortality rate (per 1000 live births),per_capita-Maternal Disorders,"Mean total cholesterol,  age-standardized","Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, age-standardized",Mean hemoglobin level of pregnant women (aged 15-49 years),Prevalence of anaemia in non-pregnant women (aged 15-49) (%)
203,35.8,34.48675,5.9290006168836095e-05,4.2,34.4,111.0,35.2
204,35.8,33.13912,5.4287035726632e-05,4.2,35.3,111.0,35.3
205,35.8,31.83087,4.91242037542948e-05,4.2,36.1,111.0,35.2
206,35.7,30.58499,4.559521587512991e-05,4.2,37.0,111.0,35.2
207,35.7,29.38723,4.44406114577197e-05,4.2,37.9,111.0,35.2
208,35.7,28.24284,4.318583084997989e-05,4.2,38.7,111.0,35.2
209,35.7,27.1004,4.52124896376922e-05,4.2,39.6,111.0,35.3
210,35.7,25.94436,4.486881612024681e-05,4.2,40.4,112.0,35.3
211,35.8,24.76884,4.432865523590759e-05,4.2,41.1,112.0,35.4
212,35.9,23.59214,4.4028760232499314e-05,4.2,41.9,112.0,35.5
213,36.0,22.35029,4.195767181468584e-05,4.2,42.6,112.0,35.7
214,36.2,20.94401,3.961739351775313e-05,4.2,43.4,112.0,35.9
215,36.4,19.66567,3.863168663433732e-05,4.2,44.1,112.0,36.2
216,36.7,18.51498,3.661406937401684e-05,4.2,44.8,112.0,36.5
217,20.6,9.25424,3.6539023677287343e-06,4.3,48.3,120.0,20.5
218,20.4,9.33893,7.275214073174103e-06,4.3,49.1,120.0,20.3
219,20.1,9.46325,7.240657741349224e-06,4.3,49.9,120.0,20.1
220,19.9,9.61871,7.205986733778423e-06,4.3,50.7,120.0,19.9
221,19.4,9.77476,7.173138032695163e-06,4.3,51.5,120.0,19.4
222,19.1,9.92188,7.14191339001632e-06,4.3,52.3,120.0,19.0
223,18.7,10.02779,7.1121984872353815e-06,4.3,53.0,121.0,18.6
224,18.3,10.07697,7.083181340067078e-06,4.3,53.8,121.0,18.2
225,17.9,10.06845,7.054723490112805e-06,4.3,54.6,121.0,17.8
226,17.6,10.02803,7.027678511818798e-06,4.3,55.4,121.0,17.5
227,17.3,9.9697,7.0015018221408496e-06,4.3,56.2,121.0,17.2
228,17.2,9.90484,6.975811374060445e-06,4.3,56.9,121.0,17.1
229,16.9,9.81386,6.950888497322171e-06,4.3,57.6,121.0,16.9
230,16.8,9.68823,6.927006667243917e-06,4.3,58.3,121.0,16.7
231,16.7,9.51986,6.904170118751726e-06,4.3,59.0,121.0,16.7
232,16.7,9.32478,6.882217725839974e-06,4.3,59.6,121.0,16.6
233,16.7,9.11569,6.861181152335375e-06,4.4,60.2,121.0,16.6
234,16.7,8.86665,6.84144272344152e-06,4.4,60.7,121.0,16.6
235,16.8,8.63214,6.84144272344152e-06,4.4,61.2,121.0,16.7
236,17.0,8.37493,6.805637790345522e-06,4.315789473684211,61.7,121.0,16.9
237,21.9,6.04042,2.092947395162521e-06,5.2,44.4,118.0,21.8
238,21.8,5.49367,1.600033760712351e-06,5.2,45.2,118.0,21.7
239,21.7,4.96757,1.808102287158988e-06,5.2,46.0,118.0,21.6
240,21.6,4.46283,1.9181824514573644e-06,5.2,46.7,118.0,21.5
241,21.4,3.96848,1.8263077809538625e-06,5.1,47.5,118.0,21.2
242,21.0,3.47771,1.9369709648052378e-06,5.1,48.2,118.0,20.9
243,20.7,3.00379,1.9455778857835192e-06,5.1,49.0,118.0,20.5
244,20.3,2.57897,1.953783156599936e-06,5.1,49.8,118.0,20.1
245,19.8,2.23612,1.85839677349282e-06,5.0,50.6,119.0,19.7
246,19.4,1.9879,1.9692112780253743e-06,5.0,51.5,119.0,19.2
247,19.1,1.82816,1.8725360546414343e-06,5.0,52.4,119.0,18.9
248,19.0,1.74193,1.983805465112588e-06,5.0,53.3,119.0,18.8
249,19.1,1.70229,1.7814322988136813e-06,4.9,54.2,119.0,18.9
250,19.1,1.6711,1.787902212266061e-06,4.9,55.2,119.0,19.0
251,19.3,1.62767,1.6888964138606884e-06,4.9,56.1,119.0,19.1
252,19.5,1.5615,1.4832824532135633e-06,4.9,57.0,119.0,19.4
253,19.8,1.47076,1.488929279049808e-06,4.8,57.9,119.0,19.6
254,20.1,1.35887,1.4947694280787954e-06,4.8,58.9,119.0,19.9
255,20.3,1.23395,1.388000183216024e-06,4.8,59.8,119.0,20.2
256,20.6,1.11165,1.399473604151571e-06,5.010526315789474,60.6,119.0,20.4
257,11.2,2.95606,5.845891770328942e-07,5.3,46.7,120.0,11.0
258,11.0,2.84352,1.0688246300725082e-06,5.3,47.5,120.0,10.9
259,10.9,2.76247,5.818480852834133e-07,5.2,48.3,120.0,10.7
260,10.8,2.70705,7.743815982152052e-07,5.2,49.2,120.0,10.7
261,10.7,2.66327,3.865378155743044e-07,5.1,50.0,120.0,10.6
262,10.8,2.62131,6.753896129708768e-07,5.1,50.8,120.0,10.6
263,10.8,2.57509,8.6712996457196e-07,5.0,51.7,120.0,10.7
264,10.8,2.51808,7.698061993647944e-07,5.0,52.6,120.0,10.7
265,10.9,2.45378,7.689386464815146e-07,5.0,53.4,121.0,10.7
266,10.9,2.38919,6.721503896167744e-07,4.9,54.3,121.0,10.8
267,10.9,2.3315,7.674970377012773e-07,4.9,55.2,121.0,10.8
268,11.1,2.28765,8.627733158017796e-07,4.9,56.1,120.0,11.0
269,11.3,2.262,6.706038778339839e-07,4.8,56.9,120.0,11.2
270,11.4,2.25433,4.78731491761797e-07,4.8,57.7,120.0,11.3
271,11.6,2.26161,5.741977906591609e-07,4.8,58.5,120.0,11.5
272,12.0,2.27896,4.782967584585107e-07,4.7,59.2,120.0,11.8
273,12.3,2.30506,4.781265700481244e-07,4.7,59.9,120.0,12.3
274,12.8,2.3344,4.779890351227299e-07,4.7,60.6,120.0,12.7
275,13.2,2.3636,4.779890351227299e-07,4.6,61.3,120.0,13.1
276,13.6,2.38335,4.778141341243387e-07,4.947368421052632,62.0,120.0,13.5
277,27.2,11.97795,1.2096579087434074e-05,4.5,34.0,118.0,27.1
278,26.6,11.56307,1.1781384626863914e-05,4.5,34.6,118.0,26.5
279,26.0,11.12289,1.5308192179044617e-05,4.4,35.2,118.0,26.0
280,25.5,10.60883,1.49277125519671e-05,4.4,35.9,118.0,25.4
281,25.0,10.01662,1.456558153084262e-05,4.4,36.6,118.0,24.9
282,24.5,9.35562,1.4220250347507367e-05,4.5,37.3,119.0,24.4
283,24.1,8.74141,1.7363944810437816e-05,4.5,38.0,119.0,24.0
284,23.6,8.36623,1.3577271647262483e-05,4.5,38.7,119.0,23.5
285,23.1,8.36095,1.327712682975404e-05,4.5,39.4,119.0,23.1
286,22.5,8.67968,1.299127311228682e-05,4.5,40.2,119.0,22.5
287,21.9,9.28328,1.5897139150838415e-05,4.5,41.0,120.0,21.9
288,21.5,9.95566,1.557074568301076e-05,4.5,41.7,120.0,21.4
289,21.2,10.41235,1.5256973199600876e-05,4.5,42.4,120.0,21.1
290,20.9,10.52853,1.4956760006820283e-05,4.5,43.2,120.0,20.9
