,Mean BMI (kg/m²) (age-standardized estimate),Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),Maternal mortality ratio (per 100 000 live births),per_capita-Tuberculosis,Stillbirth rate (per 1000 total births),Prevalence of anaemia in children aged 6–59 months (%),"Mean Non-HDL cholesterol, age-standardized"
246,26.0,1.05962,6.0,7.265353188925197e-05,2.67479,18.1,3.6
247,26.0,1.00889,5.0,7.19886083228818e-05,2.47825,17.5,3.5
248,26.1,0.95777,5.0,6.974642372080048e-05,2.34778,17.1,3.5
249,26.2,0.90583,4.0,5.627230261546747e-05,2.27686,16.9,3.5
250,26.2,0.85442,3.0,4.932506691486956e-05,2.24436,16.8,3.4
251,26.3,0.80375,3.0,4.285574650171497e-05,2.23789,16.8,3.4
252,26.4,0.75496,3.0,3.72939588236553e-05,2.24542,16.9,3.4
253,26.4,0.70843,3.0,3.4458077600866984e-05,2.21675,17.1,3.3
254,25.858823529411765,0.66427,2.0,3.331200439718458e-05,2.13455,17.3,3.3
255,25.858823529411765,0.62283,8.555555555555555,3.235108119341964e-05,2.08009,17.5,3.2
256,25.858823529411765,0.58478,8.555555555555555,3.208024107978216e-05,2.01987,17.8,3.547368421052632
257,25.8,0.68683,8.0,1.3835277189778496e-05,3.3881,13.8,3.9
258,25.9,0.66248,8.0,1.370038844002033e-05,3.34496,13.6,3.9
259,26.0,0.63915,7.0,1.318855659975737e-05,3.38393,13.6,3.8
260,26.0,0.61679,7.0,1.2874094070327788e-05,3.38729,13.6,3.7
261,26.1,0.59521,7.0,1.2079306736697012e-05,3.30779,13.6,3.7
262,26.2,0.57508,7.0,1.196404457262696e-05,3.23515,13.8,3.6
263,26.2,0.55599,7.0,1.146538508711814e-05,3.21621,14.0,3.6
264,26.3,0.53813,7.0,1.1739544540313115e-05,3.1894,14.2,3.5
265,26.3,0.52168,7.0,1.1630197028032909e-05,3.1387,14.3,3.5
266,26.4,0.50616,6.0,1.0946449202330326e-05,3.0803,14.5,3.4
267,26.4,0.49164,6.0,1.0457147138679904e-05,3.08361,14.6,3.4
268,26.5,0.47811,6.0,9.96982498259834e-06,3.13439,14.9,3.3
269,26.5,0.46534,6.0,9.867457059557193e-06,3.12393,15.2,3.3
270,26.5,0.45314,6.0,9.191644641826502e-06,3.07638,15.3,3.3
271,26.5,0.44129,6.0,8.42156759633436e-06,3.06733,15.6,3.2
272,26.6,0.43007,5.0,8.418022948869789e-06,3.00133,15.9,3.2
273,26.6,0.41909,5.0,7.650025120769991e-06,2.95165,16.4,3.1
274,26.28235294117647,0.40807,5.0,7.743422368988224e-06,2.91978,16.8,3.1
275,26.28235294117647,0.39716,6.444444444444445,7.839020176012771e-06,2.88088,17.1,3.1
276,26.28235294117647,0.38595,6.444444444444445,7.836151799639156e-06,2.83987,17.4,3.452631578947368
277,26.0,2.29946,89.0,6.451508846631506e-05,11.22757,26.1,3.2
278,26.1,2.26602,88.0,5.890692313431957e-05,10.88478,25.7,3.2
279,26.2,2.22574,82.0,5.740572067141731e-05,10.6042,25.4,3.2
280,26.3,2.18257,80.0,5.224699393188485e-05,10.27286,25.1,3.3
281,26.4,2.13553,75.0,5.097953535794917e-05,9.94025,24.8,3.3
282,26.5,2.08358,70.0,4.621581362939895e-05,9.56019,24.6,3.3
283,26.6,2.02879,65.0,4.514625650713832e-05,9.219,24.5,3.3
284,26.7,1.97093,61.0,4.412613285360307e-05,8.98549,24.3,3.3
285,26.8,1.91261,59.0,4.315066219670064e-05,8.88518,24.0,3.3
286,26.9,1.85336,57.0,4.222163761493217e-05,8.7796,23.6,3.3
287,27.0,1.79334,54.0,4.133256179217988e-05,8.7331,23.1,3.3
288,27.1,1.73225,52.0,4.048393877582797e-05,8.77268,22.7,3.3
289,27.1,1.67245,50.0,3.661673567904211e-05,8.69837,22.3,3.3
290,27.2,1.61288,48.0,3.589622401636868e-05,8.46398,22.0,3.4
291,27.3,1.55609,46.0,3.814061564821443e-05,8.18798,21.7,3.4
292,27.4,1.50149,43.0,3.742418005060901e-05,7.80456,21.3,3.4
293,27.5,1.44834,39.0,3.956389286097813e-05,7.42795,21.0,3.4
294,26.77058823529412,1.3967,36.0,3.885154823419713e-05,7.08268,20.7,3.4
295,26.77058823529412,1.34692,60.77777777777778,3.885154823419713e-05,6.75303,20.4,3.4
296,26.77058823529412,1.30053,60.77777777777778,4.018678819151416e-05,6.5301,20.2,3.3157894736842106
297,21.7,21.11127,520.0,0.0004154630827058,27.18339,80.3,2.7
298,21.8,20.54301,516.0,0.0003942093339295,26.86895,79.9,2.7
299,21.9,20.00891,511.0,0.0003809193788593,26.55725,79.4,2.7
300,21.9,19.49865,510.0,0.0003611330859055,26.31745,78.8,2.7
301,22.0,19.00618,505.0,0.0003438366026817,26.09417,78.0,2.7
302,22.1,18.52608,500.0,0.0003227171394558,25.76675,77.3,2.7
303,22.1,18.06259,493.0,0.0003090251787042,25.41352,76.4,2.7
304,22.2,17.59462,486.0,0.0002988587557763,25.21051,75.6,2.7
305,22.3,17.14417,480.0,0.000293464542299,24.99914,74.7,2.7
306,22.3,16.70017,471.0,0.0002894732292427,24.79832,73.9,2.8
307,22.4,16.26291,464.0,0.0002835685914657,24.61835,73.2,2.8
308,22.4,15.82855,458.0,0.000279355609718,24.40434,72.7,2.8
309,22.4,15.40709,450.0,0.0002754514711077,23.63326,72.3,2.8
310,22.5,14.98489,441.0,0.0002722406100781,22.48553,72.2,2.8
311,22.5,14.57295,432.0,0.000269768701634,21.51965,72.1,2.9
312,22.5,14.16153,421.0,0.000267211630367,21.29328,72.0,2.9
313,22.6,13.74929,408.0,0.0002612308310473,20.95993,71.9,2.9
314,22.21176470588236,13.35911,397.0,0.0002527447490919,20.71266,71.7,2.9
315,22.21176470588236,12.94422,470.1666666666667,0.0002423269547745,20.51671,71.4,3.0
316,22.21176470588236,12.58095,470.1666666666667,0.0002253058286205,20.34427,71.0,2.784210526315789
317,22.0,11.22491,423.0,0.0003532099189267,16.3421,67.5,3.2
318,22.1,9.60689,384.0,0.0003311795837527,16.00699,66.5,3.2
319,22.2,9.15576,365.0,0.0003083347844771,15.64444,65.4,3.2
320,22.3,8.70269,348.0,0.0002925646119507,15.24389,64.2,3.2
321,22.4,8.2119,332.0,0.0002757915449749,14.8376,62.8,3.2
322,22.5,7.71223,310.0,0.0002595828046242,14.41392,61.4,3.2
323,22.6,7.19382,291.0,0.0002408894844212,13.96036,59.9,3.2
324,22.7,6.69692,275.0,0.0002316764015308,13.51825,58.3,3.2
325,22.8,6.20721,264.0,0.0002169067052018,13.1041,56.6,3.2
326,22.9,5.69738,255.0,0.0002025635868802,12.63904,55.0,3.2
327,22.9,5.1992,247.0,0.0001914704213921,12.19791,53.4,3.2
328,23.0,4.7218,239.0,0.0001835051459077,11.73805,51.9,3.2
329,23.1,4.27737,231.0,0.0001757577110208,11.35195,50.5,3.1
330,23.2,3.91623,223.0,0.0001695859345701,10.96132,49.2,3.1
331,23.3,3.62483,214.0,0.0001649303544094,10.57608,48.1,3.1
332,23.4,3.38798,203.0,0.0001603948679033,10.27688,47.2,3.1
333,23.5,3.18755,193.0,0.0001559740043326,10.11033,46.4,3.1
