,Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%),Stillbirth rate (per 1000 total births),Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%),Domestic general government health expenditure (GGHE-D) as percentage of current health expenditure (CHE) (%)
1294,1.35,9.86634,36.6,46.48
1295,1.4,9.64727,35.64,48.68
1296,1.42,9.46173,34.76,48.94
1297,1.8,11.30108,59.6,37.71
1298,2.07,11.06073,59.25,38.27
1299,1.88,10.78217,54.75,39.26
1300,2.04,10.52943,54.07,39.41
1301,1.88,10.22778,56.56,36.43
1302,1.99,9.96355,56.09,36.87
1303,2.21,9.66747,51.69,41.68
1304,2.02,9.36176,53.21,39.83
1305,1.96,9.07074,55.48,37.08
1306,2.38,8.75403,56.03,36.65
1307,2.17,8.4392,59.4,32.36
1308,2.19,8.19318,57.52,33.36
1309,2.26,7.94815,54.96,34.31
1310,2.29,7.73809,51.07,38.49
1311,3.4,7.56433,42.19,50.37
1312,3.91,7.35387,41.09,51.89
1313,4.34,7.1844,42.29,50.61
1314,4.35,7.02163,41.48,51.57
1315,3.89,6.88783,35.83,45.93
1316,3.32,6.75437,39.49,49.5
1317,1.36,15.84483,54.64,45.33
1318,2.73,15.63005,29.05,70.93
1319,2.02,15.39829,30.24,69.73
1320,1.61,15.20356,33.55,66.42
1321,2.04,15.02126,30.58,65.6
1322,2.38,14.79868,21.53,78.44
1323,2.92,14.60116,22.39,77.58
1324,2.39,14.35292,26.1,73.88
1325,2.09,14.08911,25.14,74.83
1326,1.01,13.9003,61.74,37.5
1327,1.15,13.65496,58.35,40.66
1328,1.04,13.2784,61.84,37.1
1329,0.73,13.00127,76.47,23.24
1330,0.72,12.63169,79.13,20.48
1331,1.75,12.29245,58.04,41.86
1332,2.04,11.96902,51.35,48.13
1333,2.21,11.6649,50.1,49.37
1334,4.58,4.95389,12.12,77.51
1335,5.02,4.87926,10.65,78.44
1336,5.27,4.8035,10.47,78.99
1337,5.52,4.67075,13.15,78.76
1338,5.7,4.46502,12.22,78.92
1339,6.03,4.27436,13.55,78.87
1340,5.85,4.17212,13.93,77.83
1341,6.18,4.11714,11.57,79.23
1342,7.23,3.97399,11.86,79.32
1343,8.1,3.83931,12.7,77.07
1344,8.0,3.68661,13.8,76.18
1345,7.68,3.50827,13.89,71.89
1346,7.64,3.38807,13.9,71.75
1347,7.27,3.33037,14.29,70.59
1348,6.77,3.28239,14.31,71.01
1349,5.27,3.21137,13.21,72.01
1350,5.4,3.0787,12.79,72.72
1351,5.16,2.95029,12.61,72.98
1352,5.09,2.88268,12.02,74.13
1353,4.98,2.83111,11.72,74.58
1354,4.28,4.1279,29.49,63.1
1355,4.52,3.9069,30.33,62.68
1356,4.56,3.56323,27.84,64.01
1357,4.42,3.29563,28.63,62.51
1358,4.33,3.0533,28.73,61.78
1359,4.27,3.02337,30.24,59.93
1360,4.3,3.08673,25.72,62.32
1361,4.17,3.08736,26.66,60.59
1362,4.27,2.99624,25.35,61.28
1363,4.33,2.84549,25.42,61.22
1364,4.41,2.74482,23.81,62.8
1365,4.38,2.75209,23.76,62.59
1366,4.45,2.79744,23.41,62.61
1367,4.49,2.81204,22.65,63.42
1368,4.51,2.78829,23.01,63.13
1369,4.5,2.7714,22.5,63.42
1370,4.54,2.84,22.82,63.32
1371,4.66,2.83261,22.43,63.88
1372,4.86,2.79831,21.45,64.55
1373,4.83,2.76621,20.98,64.78
1374,5.5,2.81285,26.46,72.64
1375,5.77,2.73605,24.48,74.62
1376,5.9,2.66566,24.13,74.96
1377,5.9,2.60211,23.72,75.33
1378,6.23,2.52146,22.83,76.24
1379,6.46,2.46478,21.61,77.49
1380,6.56,2.40793,21.32,77.75
1381,6.3,2.36118,21.52,77.49
1382,6.63,2.34075,21.34,77.68
1383,7.01,2.34287,20.66,78.31
1384,6.99,2.36059,20.55,78.45
1385,6.76,2.40293,22.03,77.01
1386,6.66,2.45488,22.08,75.88
1387,6.65,2.52662,22.23,75.76
1388,6.69,2.60726,22.54,75.42
1389,6.59,2.65721,23.47,74.44
1390,6.49,2.59174,23.32,74.4
1391,6.4,2.4713,23.81,73.74
1392,6.41,2.41993,23.57,73.84
1393,6.41,2.38916,23.31,73.92
1394,3.19,18.88916,29.63,56.47
1395,2.4,18.60599,38.42,46.55
1396,2.76,18.31093,26.94,58.19
1397,2.05,17.95633,34.57,48.5
1398,2.47,17.65046,27.56,51.48
1399,2.23,17.40895,29.14,49.14
1400,2.0,17.06357,28.94,47.54
1401,2.66,16.73284,31.16,50.07
