,Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%),Stillbirth rate (per 1000 total births),Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%),Domestic general government health expenditure (GGHE-D) as percentage of current health expenditure (CHE) (%)
0,0.08,35.98287,85.38,0.89
1,0.65,35.66648,86.07,7.28
2,0.54,35.32785,84.53,5.54
3,0.53,35.01817,78.97,5.32
4,0.5,34.56518,76.82,4.69
5,0.56,34.1208,78.17,5.65
6,0.63,33.69409,75.4,6.12
7,0.53,33.2445,72.78,5.42
8,0.47,32.64088,79.0,5.47
9,0.48,32.11355,73.26,5.61
10,0.34,31.6925,74.49,4.34
11,0.44,31.10597,72.05,5.03
12,0.47,30.69205,73.06,4.96
13,0.52,30.30055,78.38,5.17
14,0.6,29.88528,75.97,5.08
15,0.64,29.43246,75.48,5.1
16,0.55,28.91195,76.22,3.89
17,1.08,28.37778,79.3,8.19
18,2.77,6.38091,60.4,38.24
19,2.75,6.26195,57.78,38.56
20,2.59,6.13664,59.71,37.47
21,2.67,6.02551,54.01,37.81
22,2.82,5.92923,52.66,41.65
23,2.67,5.79962,52.53,42.07
24,2.56,5.61353,51.35,42.59
25,2.44,5.36141,55.98,38.56
26,2.27,5.06642,53.07,44.2
27,2.34,4.77487,47.11,50.8
28,2.38,4.51758,47.34,50.12
29,2.37,4.36331,49.54,49.33
30,2.46,4.25269,50.38,48.57
31,2.58,4.12614,50.88,47.86
32,2.59,4.01272,52.15,47.13
33,2.73,3.93789,43.28,55.78
34,2.8,3.91596,41.77,57.03
35,2.68,3.95123,44.45,53.37
36,2.82,4.01768,44.58,53.99
37,2.51,17.18014,25.79,71.96
38,2.93,16.9325,21.67,76.23
39,2.81,16.66241,22.52,75.28
40,2.76,16.27066,21.15,76.69
41,2.53,15.80071,26.09,71.35
42,2.24,15.23205,28.09,69.29
43,2.3,14.65672,29.12,68.46
44,2.67,14.02792,28.09,69.79
45,3.03,13.3937,26.15,72.0
46,3.8,12.67705,27.45,70.88
47,3.56,12.05193,28.88,69.48
48,3.72,11.52037,27.87,70.62
49,4.38,11.08387,25.72,72.93
50,4.29,10.60772,27.56,71.05
51,4.71,10.12543,26.66,72.01
52,4.92,9.6653,28.21,70.46
53,4.47,9.44072,30.88,67.69
54,4.14,9.39877,32.54,65.95
55,4.06,9.45524,32.63,65.85
56,4.06,9.46678,33.44,65.0
57,1.11,30.03642,27.3,58.21
58,2.05,29.53175,45.09,45.64
59,1.31,28.81978,49.66,39.3
60,1.47,28.19836,48.51,41.31
61,1.69,27.53192,46.89,42.51
62,1.28,26.7738,42.33,44.83
63,1.44,25.93826,30.67,53.77
64,1.72,25.18395,28.38,57.89
65,2.14,24.60049,21.65,64.35
66,2.6,24.03018,15.51,67.67
67,1.67,23.39098,19.34,62.12
68,1.71,22.79138,17.99,64.76
69,1.56,22.21481,17.62,65.25
70,1.7,21.79696,21.35,62.03
71,1.32,21.34208,26.88,54.15
72,1.23,21.00354,33.52,47.37
73,1.2,20.6829,35.21,44.14
74,1.29,20.4029,34.12,46.28
75,1.07,20.06602,36.63,42.08
76,1.04,19.83011,37.46,41.22
77,4.5,7.81906,29.1,54.73
78,4.59,7.58481,29.47,54.85
79,4.03,7.30905,29.99,54.56
80,3.77,6.85732,28.25,54.71
81,3.74,6.25141,27.63,51.8
82,3.91,5.83896,33.07,51.42
83,4.02,5.64864,32.41,52.6
84,4.25,5.52054,31.29,54.31
85,4.51,5.38129,30.26,55.1
86,5.67,5.23754,26.19,59.96
87,5.57,4.85241,26.78,58.95
88,5.68,4.87683,26.89,60.32
89,6.13,5.0823,26.09,62.43
90,6.22,5.17482,26.82,63.6
91,6.33,5.19337,27.04,65.42
92,6.82,5.09639,25.93,66.71
93,5.59,5.20547,29.57,62.11
94,6.6,5.23692,25.84,63.2
95,5.94,5.32572,27.73,61.41
96,5.93,5.33443,27.66,62.36
97,0.95,20.67671,62.01,22.75
98,1.34,20.10868,50.88,28.82
99,1.17,19.45541,75.23,15.39
100,1.21,18.72933,76.43,16.8
101,1.29,18.04719,71.59,21.37
102,1.48,17.37245,62.94,25.22
103,1.59,16.72719,61.17,27.12
104,1.61,16.16016,58.23,29.35
105,1.49,15.70173,71.44,22.41
106,1.81,15.27704,73.63,21.46
107,1.69,15.08267,77.62,18.26
108,1.67,14.88892,78.42,17.84
109,1.58,14.581,78.59,17.28
110,1.38,14.23683,82.88,13.33
111,1.51,14.03153,82.48,14.79
112,1.61,13.88276,81.63,15.91
113,1.64,13.69299,80.65,16.45
114,1.37,13.42429,84.35,13.24
115,1.23,13.15354,84.28,12.34
116,1.41,12.87654,84.79,12.41
117,5.47,3.20857,21.0,71.84
118,5.47,3.08674,20.44,71.11
119,5.68,2.96692,19.92,71.94
120,5.64,2.92143,19.15,71.34
121,5.81,2.86615,19.22,71.69
122,5.74,2.83525,19.64,71.84
123,5.73,2.84715,19.75,71.67
124,5.88,2.89832,19.0,72.91
125,5.97,2.93214,19.04,72.33
126,6.25,2.91544,19.05,73.01
127,6.1,2.86057,19.75,72.36
128,6.26,2.73643,19.17,73.26
129,6.18,2.67292,19.93,71.23
130,5.94,2.56657,19.5,67.77
131,6.1,2.44471,19.4,67.51
132,6.38,2.34068,18.74,68.44
133,6.34,2.26658,18.46,68.53
134,6.37,2.24045,18.01,68.69
135,6.3,2.23449,17.82,68.78
136,7.1,2.21541,15.98,71.68
137,6.83,2.81144,17.82,74.16
138,6.83,2.78537,18.46,73.65
139,6.9,2.78091,18.61,73.44
140,6.98,2.73089,18.89,73.14
141,7.0,2.65434,19.3,72.05
142,6.99,2.61327,19.18,72.65
143,6.94,2.58008,18.81,72.85
144,6.94,2.51864,18.81,72.8
145,7.18,2.46819,18.24,73.79
146,7.45,2.46396,18.05,72.85
147,7.4,2.46837,18.6,72.4
148,7.29,2.46698,18.74,72.69
149,7.43,2.4526,18.67,72.87
150,7.42,2.44693,19.17,72.17
151,7.52,2.40594,19.1,72.52
152,7.51,2.3576,19.09,72.46
153,7.49,2.31083,19.24,72.36
154,7.45,2.26544,20.64,71.7
155,7.49,2.22262,19.59,72.59
156,7.62,2.18952,19.07,73.01
157,0.87,19.1726,68.61,29.4
158,0.79,18.73702,70.08,28.67
159,0.73,18.16166,72.29,26.88
160,0.78,17.53163,68.87,28.49
161,0.86,16.87904,65.78,32.43
162,0.92,16.13058,58.51,40.59
163,0.87,15.41358,56.39,41.9
164,0.91,14.65067,52.71,45.57
165,0.86,13.93027,54.17,44.55
166,1.13,13.23372,55.54,43.26
167,1.01,12.59253,57.92,40.59
168,0.95,12.02789,59.87,38.75
169,1.11,11.53454,60.63,37.56
170,1.06,11.08337,64.21,35.01
171,1.13,10.62689,65.58,33.4
172,1.3,10.19887,67.45,31.72
173,1.16,9.83128,70.67,28.82
174,1.0,9.52284,72.51,26.82
175,0.93,9.23718,73.23,26.11
176,1.28,8.9705,67.96,31.74
177,2.35,8.52261,25.79,66.03
178,2.46,8.17041,25.35,66.89
179,2.57,7.86561,25.72,66.72
180,2.49,7.57664,31.49,62.43
181,2.26,7.30297,30.9,64.97
182,2.15,7.00454,28.19,67.62
183,2.11,6.75064,27.09,68.94
184,2.16,6.50512,30.16,65.52
185,2.17,6.31318,27.22,66.07
186,2.59,6.19138,28.35,63.9
187,2.42,6.20381,28.46,62.97
188,2.24,6.28925,28.44,62.54
189,2.68,6.21603,26.8,65.35
190,2.81,6.05183,26.92,65.18
191,2.87,5.95594,26.18,65.06
192,3.24,5.88984,25.84,64.88
193,2.98,5.93035,27.99,61.36
194,2.75,6.00362,30.44,57.98
195,2.44,5.97815,30.0,58.83
196,2.37,5.90874,29.73,59.2
197,0.59,41.40262,61.1,28.69
198,0.46,40.28941,65.14,22.07
199,0.56,38.97208,62.29,24.71
200,0.58,37.8517,62.39,25.01
201,0.57,36.67568,62.51,24.43
202,0.54,35.56304,64.85,22.2
203,0.57,34.4124,65.08,23.09
204,0.59,33.2795,65.82,22.87
205,0.53,32.11366,67.16,21.34
206,0.52,30.82405,67.24,20.36
207,0.56,29.65639,67.21,21.03
208,0.58,28.79159,67.37,20.92
209,0.56,28.18036,67.47,20.47
210,0.52,27.91156,68.51,19.73
211,0.51,27.62674,69.93,19.03
212,0.47,26.96289,71.82,17.63
213,0.41,26.36471,73.15,16.42
214,0.41,25.74755,73.9,16.7
215,0.43,25.03614,73.88,16.98
216,0.46,24.28319,72.68,18.63
217,2.76,8.41036,39.37,51.85
218,2.94,8.39183,38.06,53.29
219,3.14,8.44198,36.52,53.52
220,3.76,8.45959,35.93,56.24
221,4.34,8.48007,33.59,59.38
222,3.87,8.53042,35.07,57.2
223,3.7,8.55103,35.38,56.27
224,3.3,8.50838,36.84,54.46
225,3.58,8.49794,35.46,55.32
226,3.9,8.46461,36.31,54.6
227,3.62,8.40477,38.08,53.45
228,3.35,8.33981,42.19,48.5
229,4.3,8.30298,38.61,55.33
230,3.81,8.1703,40.99,50.78
231,3.29,8.03267,43.8,46.95
232,3.2,7.89507,44.0,47.24
233,3.15,7.75926,44.07,47.16
234,3.0,7.63029,45.29,45.35
235,2.94,7.51074,46.52,44.78
236,2.82,7.40215,46.73,44.83
237,4.15,5.00399,16.03,78.67
238,4.26,4.76324,20.71,74.62
239,4.08,4.53488,23.03,72.53
240,4.39,4.31477,20.17,75.99
241,4.4,4.07406,19.22,76.69
242,4.52,3.81261,21.78,74.5
243,3.99,3.51496,24.39,71.47
244,3.99,3.18957,25.79,70.19
245,3.48,2.91108,29.84,65.78
246,3.48,2.67479,30.92,64.56
247,3.85,2.47825,29.17,68.04
248,3.09,2.34778,33.59,63.36
249,3.44,2.27686,30.77,65.65
250,3.57,2.24436,33.79,62.66
251,3.37,2.23789,34.89,62.6
252,3.69,2.24542,36.2,60.78
253,4.19,2.21675,26.71,70.94
254,3.98,2.13455,27.06,69.11
255,3.9,2.08009,25.45,70.56
256,4.13,2.01987,25.69,70.38
257,5.96,3.3881,20.23,74.53
258,6.14,3.34496,19.59,75.33
259,6.13,3.38393,20.87,73.72
260,6.79,3.38729,21.12,73.77
261,7.0,3.30779,20.28,74.68
262,6.9,3.23515,20.35,74.48
263,6.81,3.21621,20.5,74.31
264,6.78,3.1894,20.84,73.92
265,7.27,3.1387,20.18,75.49
266,7.88,3.0803,19.93,76.05
267,7.78,3.08361,19.95,76.03
268,7.91,3.13439,19.69,76.1
269,8.04,3.12393,19.36,76.56
270,8.04,3.07638,19.61,76.11
271,8.09,3.06733,19.33,76.33
272,7.92,3.00133,19.34,75.91
273,8.32,2.95165,18.01,77.23
274,8.34,2.91978,17.8,77.32
275,8.27,2.88088,18.24,76.82
276,8.18,2.83987,18.17,76.78
277,1.87,11.22757,37.31,46.95
278,2.39,10.88478,33.61,51.5
279,2.46,10.6042,33.22,52.26
280,2.34,10.27286,33.5,50.57
281,2.28,9.94025,33.46,50.91
282,2.39,9.56019,31.96,53.11
283,2.6,9.219,28.97,56.93
284,3.19,8.98549,24.89,59.93
285,3.75,8.88518,22.92,66.06
286,3.76,8.7796,24.34,64.25
287,3.78,8.7331,24.63,66.56
288,3.74,8.77268,24.54,65.39
289,3.6,8.69837,25.35,65.8
290,3.77,8.46398,24.94,66.67
291,3.89,8.18798,22.26,62.87
292,4.03,7.80456,23.37,67.95
293,4.23,7.42795,23.73,68.81
294,3.98,7.08268,23.9,68.65
295,3.99,6.75303,23.22,68.6
296,4.17,6.5301,21.81,69.87
297,0.81,27.18339,52.37,26.01
298,0.93,26.86895,49.89,28.53
299,0.73,26.55725,52.66,23.84
300,0.66,26.31745,53.02,21.88
301,0.73,26.09417,51.06,23.79
302,0.68,25.76675,51.1,23.27
303,0.72,25.41352,50.49,24.2
304,0.6,25.21051,49.0,20.59
305,0.56,24.99914,47.33,20.87
306,0.75,24.79832,46.01,26.45
307,0.72,24.61835,44.99,24.17
308,0.8,24.40434,43.57,25.71
309,0.75,23.63326,37.41,21.87
310,0.76,22.48553,42.31,26.75
311,0.58,21.51965,44.01,21.57
312,0.59,21.29328,40.5,20.14
313,0.57,20.95993,43.0,20.99
314,0.81,20.71266,43.87,31.09
315,0.49,20.51671,44.68,19.6
316,0.54,20.34427,47.04,22.65
317,3.54,16.3421,11.54,79.67
318,3.54,16.00699,7.93,70.7
319,3.33,15.64444,10.3,72.41
320,2.86,15.24389,19.01,69.17
321,3.04,14.8376,16.25,66.05
322,2.64,14.41392,16.79,63.91
323,2.43,13.96036,14.79,55.89
324,2.64,13.51825,14.34,64.56
325,2.34,13.1041,15.47,69.13
326,2.62,12.63904,16.58,73.85
327,2.56,12.19791,16.48,72.05
328,2.46,11.73805,16.34,73.42
329,2.52,11.35195,20.51,69.58
330,2.55,10.96132,20.31,68.88
331,2.46,10.57608,21.17,69.01
332,2.79,10.27688,19.79,74.25
333,2.64,10.11033,20.13,73.95
334,2.49,9.96096,13.31,74.52
335,2.58,9.81703,13.16,79.55
336,2.65,9.65581,17.79,73.57
337,2.43,15.54396,33.51,55.33
338,2.61,15.22882,33.05,54.17
339,2.6,14.90819,33.92,53.14
340,2.75,14.5625,32.03,53.01
341,2.54,14.30194,32.59,52.14
342,2.75,13.93524,32.0,54.27
343,2.61,13.56199,32.27,56.02
344,2.78,13.19552,30.76,59.09
345,2.7,12.77768,30.37,58.65
346,3.16,12.34585,30.1,61.04
347,3.06,11.97503,33.28,58.77
348,3.02,11.64363,32.51,58.39
349,3.0,11.23778,34.36,57.03
350,3.26,10.84702,34.01,58.52
351,3.69,10.48291,30.9,62.62
352,4.31,10.07493,27.33,65.74
353,4.43,9.74816,28.02,64.82
354,4.45,9.46196,25.08,68.53
355,4.84,9.16383,21.98,72.8
356,4.93,8.89921,23.87,71.24
357,4.08,3.97255,39.49,53.36
358,4.33,3.87186,38.78,59.61
359,4.43,3.76318,35.93,62.21
360,5.49,3.6693,30.29,68.38
361,5.16,3.61028,42.7,56.96
362,4.94,3.57437,45.2,54.58
363,5.0,3.56247,45.0,54.56
364,5.27,3.54564,44.27,55.33
365,5.4,3.47728,43.91,55.68
366,6.14,3.35775,30.62,68.03
367,6.14,3.24692,30.08,68.07
368,6.21,3.13984,29.47,67.67
369,6.51,3.04261,29.21,68.65
370,6.59,2.97014,29.07,69.71
371,6.68,2.93228,28.92,70.37
372,6.47,2.90058,28.8,69.22
373,6.56,2.85793,28.61,70.9
374,6.27,2.8245,29.12,70.13
375,6.21,2.79211,29.31,69.87
376,6.22,2.76195,29.35,68.72
377,3.19,11.78852,10.98,54.82
378,3.49,12.46746,9.73,56.63
379,3.73,13.08806,9.0,58.14
380,3.58,13.73564,9.05,57.97
381,3.38,14.54209,8.88,58.36
382,2.84,15.26526,8.83,56.54
383,2.73,15.33133,8.29,57.21
384,3.02,15.26697,6.77,56.69
385,3.6,15.21773,5.82,62.2
386,3.36,15.28589,5.42,51.51
387,3.56,15.52074,4.99,57.55
388,3.55,15.7229,4.57,61.42
389,3.96,15.88543,4.24,64.5
390,3.98,16.01991,3.78,63.93
391,3.8,15.91617,3.72,67.86
392,3.88,15.6888,3.58,67.76
393,3.7,15.43646,3.31,66.52
394,4.64,15.37053,2.99,75.66
395,4.69,15.34035,3.09,78.56
396,4.75,15.22884,3.14,78.52
397,3.47,9.95702,36.59,41.64
398,3.51,9.72301,37.81,41.09
399,3.69,9.54798,36.41,42.39
400,3.51,9.37645,35.47,42.86
401,3.47,9.15166,35.37,42.67
402,3.35,8.93773,35.88,41.63
403,3.54,8.7878,34.37,42.93
404,3.48,8.66998,33.09,42.49
405,3.5,8.58518,30.88,43.74
406,3.71,8.54016,31.21,44.16
407,3.58,8.46821,29.39,45.02
408,3.47,8.42015,29.3,44.5
409,3.35,8.38228,29.68,43.36
410,3.55,8.32989,28.18,44.52
411,3.7,8.28527,28.18,44.05
412,3.85,8.17096,24.71,43.26
413,3.95,8.22515,24.42,43.06
414,3.95,7.79149,24.47,41.74
415,3.89,7.6142,24.83,41.09
416,3.91,7.47693,24.88,40.74
417,2.15,5.08424,15.83,84.17
418,2.12,5.0384,16.81,83.19
419,2.12,4.96691,16.41,83.59
420,2.16,4.86333,17.05,82.95
421,2.12,4.74701,16.91,83.09
422,1.87,4.62589,16.33,83.67
423,1.64,4.52786,14.69,85.31
424,1.71,4.45251,12.78,87.22
425,1.69,4.38937,10.11,89.89
426,2.16,4.32779,9.5,90.5
427,2.09,4.28432,8.26,91.74
428,1.71,4.2517,8.47,91.53
429,1.69,4.25501,8.85,91.15
430,1.72,4.29759,9.41,90.59
431,1.77,4.33862,7.33,92.67
432,2.27,4.35262,4.97,95.03
433,2.42,4.40621,4.98,95.02
434,2.15,4.49694,5.41,94.59
435,2.3,4.57461,4.86,95.14
436,2.04,4.6087,5.68,94.32
437,3.47,7.61028,40.38,59.56
438,3.85,7.61849,43.71,56.07
439,4.2,7.83033,39.79,59.34
440,4.37,7.90427,38.06,60.72
441,4.1,7.78927,39.2,59.43
442,4.1,7.57787,38.87,59.57
443,3.63,7.26416,42.65,55.67
444,3.43,7.14075,42.59,55.75
445,3.48,7.03039,42.63,55.39
446,3.55,6.90548,44.37,53.8
447,3.94,6.77726,43.14,55.24
448,3.86,6.61143,44.46,54.13
449,3.85,6.35852,47.75,50.8
450,4.05,6.02735,41.86,56.56
451,4.49,5.86985,40.24,58.24
452,4.14,5.83079,42.51,55.9
453,4.12,5.80621,43.25,55.13
454,4.13,5.52018,43.36,54.93
455,4.23,5.25179,40.52,57.64
456,4.22,5.01991,38.97,59.16
457,0.96,29.67065,42.16,32.58
458,0.97,29.38406,42.73,33.64
459,1.06,29.04506,38.28,35.61
460,0.98,28.48042,33.39,31.19
461,1.7,27.8577,30.44,40.31
462,1.22,27.16646,30.71,30.95
463,1.43,26.36028,30.85,31.7
464,1.43,25.67214,27.39,27.36
465,1.36,24.93167,30.96,29.29
466,1.64,24.25791,31.44,32.31
467,1.31,23.6573,30.17,24.93
468,1.35,23.00151,32.88,28.96
469,1.06,22.1607,32.38,23.13
470,1.61,21.51443,33.54,28.98
471,1.63,20.97855,34.08,32.54
472,1.46,20.18782,36.03,28.38
473,2.39,19.49313,31.38,40.08
474,2.61,19.52317,31.68,43.3
475,2.09,19.63341,35.83,42.51
476,2.29,19.47057,34.69,41.81
477,1.47,30.41376,41.79,23.72
478,1.69,30.24515,40.3,26.42
479,1.54,29.88697,41.2,23.72
480,1.36,29.59761,41.97,21.46
481,2.37,29.17995,35.56,30.75
482,2.06,28.73194,35.17,24.48
483,2.36,28.14876,34.81,23.78
484,2.46,27.56038,35.71,23.29
485,1.56,27.07139,35.96,16.88
486,2.08,26.8679,31.63,20.1
487,1.99,26.65565,28.2,17.61
488,3.47,26.43936,25.48,34.47
489,2.67,26.27189,22.69,31.31
490,1.54,26.05968,21.08,18.05
491,2.79,25.86676,30.56,38.09
492,2.42,25.82037,30.54,37.64
493,1.91,25.76216,25.95,24.77
494,2.04,25.75904,25.83,25.82
495,2.29,25.85706,23.87,27.76
496,2.67,26.10891,24.68,33.38
497,1.29,25.53195,68.68,19.76
498,1.18,24.6972,62.26,16.9
499,1.4,23.75993,60.63,19.36
500,1.49,22.78055,61.64,21.37
501,1.37,21.61387,56.31,19.35
502,1.22,20.64061,60.94,17.81
503,0.96,19.71746,52.35,15.69
504,0.97,18.84201,48.68,19.84
505,1.02,18.06154,51.08,15.53
506,1.22,17.28788,50.5,16.07
507,1.36,16.52108,51.91,19.73
508,1.28,15.87854,59.74,17.05
509,1.41,15.21329,60.47,19.37
510,1.42,14.63409,61.22,19.98
511,1.24,14.13394,58.62,18.5
512,1.34,13.73876,57.33,21.71
513,1.33,13.37965,58.56,21.81
514,1.52,13.04649,58.24,26.52
515,1.66,12.70925,60.97,26.89
516,1.7,12.44862,64.39,24.31
517,0.67,23.9287,77.53,15.69
518,0.82,23.49496,73.32,20.09
519,0.95,23.11121,70.23,22.16
520,0.94,22.79769,71.61,22.01
521,0.76,22.62016,73.97,18.94
522,0.71,22.45789,74.43,17.3
523,0.7,22.17204,74.43,17.36
524,0.61,22.01547,75.06,15.35
525,0.58,21.84137,74.26,15.06
526,0.48,21.79073,76.83,12.81
527,0.43,21.71226,76.05,11.36
528,0.6,21.48728,69.66,14.87
529,0.66,21.28711,66.85,16.28
530,0.5,21.104,69.72,13.23
531,0.61,20.80526,64.3,15.52
532,0.38,20.55439,69.85,10.11
533,0.38,20.17891,69.83,10.16
534,0.15,19.91382,75.82,4.17
535,0.21,19.62296,75.13,6.07
536,0.12,19.38835,72.53,3.35
537,6.01,3.225,16.61,72.85
538,6.28,3.20937,15.93,72.8
539,6.42,3.13156,15.91,72.44
540,6.59,3.04396,15.25,73.14
541,6.62,2.96439,15.29,73.06
542,6.6,2.9716,15.37,73.04
543,6.49,3.03784,15.87,69.44
544,6.57,3.09983,15.6,69.59
545,6.7,3.06818,15.49,69.75
546,7.52,2.99287,15.15,70.18
547,7.48,2.92952,15.49,69.91
548,7.3,2.9156,15.07,70.22
549,7.4,2.88679,14.87,70.44
550,7.36,2.87091,14.5,70.72
551,7.23,2.88247,14.6,70.56
552,7.58,2.83795,14.61,70.63
553,7.68,2.81018,15.47,69.65
554,7.56,2.81198,15.28,69.8
555,7.58,2.79535,14.99,70.17
556,7.61,2.76662,14.91,70.17
557,3.16,15.76439,25.26,71.3
558,3.47,15.37339,23.33,73.01
559,3.46,15.02639,23.52,72.8
560,3.3,14.8587,24.17,73.35
561,3.12,14.69733,23.83,71.36
562,2.95,14.54563,24.59,69.1
563,2.97,14.53705,23.8,66.25
564,2.98,14.54226,22.92,71.06
565,2.45,14.5139,24.45,68.44
566,2.78,14.41197,24.23,71.54
567,2.83,14.27492,28.08,63.25
568,2.87,14.0082,25.89,66.55
569,3.07,13.69129,24.57,59.9
570,3.06,13.34303,24.25,57.77
571,3.04,12.94971,25.7,57.13
572,3.17,12.49405,27.75,65.86
573,3.08,12.06039,28.69,63.56
574,3.28,11.64588,27.39,62.16
575,3.21,11.25659,27.21,60.94
576,3.25,10.93543,24.94,65.76
577,2.08,34.70148,56.22,38.03
578,1.85,34.12667,58.26,34.87
579,2.1,33.74468,64.74,28.84
580,1.74,33.2126,47.42,31.53
581,1.92,32.67717,51.01,34.87
582,1.43,31.99278,56.22,29.54
583,1.0,31.45125,63.66,20.45
584,1.02,31.07724,64.92,23.55
585,0.8,30.71633,68.82,19.59
586,0.93,30.43217,65.01,20.85
587,0.85,30.1181,67.58,20.98
588,0.84,29.70091,60.77,21.42
589,0.96,29.27301,59.43,24.78
590,1.14,28.91581,58.64,27.94
591,1.23,28.57783,55.72,28.89
592,0.96,28.32785,56.72,21.26
593,0.82,28.05279,56.65,16.28
594,0.7,27.9107,59.21,15.28
595,0.7,27.64907,62.37,16.75
596,0.75,27.46551,57.22,17.31
597,2.52,4.16827,42.81,35.79
598,2.6,4.05285,42.62,36.36
599,2.73,3.99316,42.48,37.54
600,2.8,3.97509,42.76,38.25
601,2.72,3.9573,41.84,39.47
602,2.59,3.94043,42.47,39.34
603,2.5,3.88134,40.75,41.35
604,2.61,3.76275,39.19,42.26
605,2.93,3.73707,37.43,43.53
606,3.38,3.82317,34.59,46.86
607,3.19,3.68021,34.47,47.1
608,3.19,3.52123,34.5,47.16
609,3.37,3.42289,33.41,47.94
610,3.55,3.31202,33.64,47.65
611,3.73,3.22255,34.27,47.74
612,3.99,3.20673,34.51,48.02
613,4.23,3.20447,34.75,49.65
614,4.57,3.17836,33.31,50.4
615,4.65,3.13679,33.25,50.82
616,4.75,3.09377,32.8,50.92
617,0.99,15.0465,60.13,21.98
618,0.97,14.91635,64.19,22.92
619,1.11,14.82191,62.85,25.39
620,1.25,14.54556,60.72,28.37
621,1.3,13.90911,58.77,30.24
622,1.37,13.2054,57.69,32.76
623,1.39,12.51567,55.99,35.14
624,1.43,11.87134,51.29,39.03
625,1.74,11.29953,47.37,44.52
626,2.15,10.72549,43.46,49.4
627,2.2,10.1508,40.8,51.91
628,2.33,9.59681,40.27,53.72
629,2.54,9.10858,39.23,55.74
630,2.69,8.59936,38.16,57.05
631,2.79,7.89368,36.56,58.42
632,2.97,7.42712,35.09,60.18
633,2.89,6.60814,35.91,58.1
634,2.87,6.0944,36.05,56.67
635,2.92,5.78976,35.75,56.42
636,3.0,5.54196,35.23,55.98
637,4.2,9.55815,13.69,74.53
638,4.46,9.37283,13.4,75.05
639,4.37,9.202,11.49,76.19
640,4.47,9.07847,8.6,77.38
641,4.26,9.01316,13.76,73.53
642,4.36,8.91302,16.41,71.82
643,4.57,8.80634,17.93,72.09
644,4.59,8.70609,19.25,70.65
645,4.75,8.64174,20.85,69.36
646,5.27,8.51058,18.01,72.05
647,5.11,8.44039,17.0,72.23
648,4.98,8.27597,15.32,73.5
649,4.71,8.13006,17.86,69.86
650,4.9,7.98138,17.15,69.86
651,5.06,7.80609,16.28,70.4
652,5.33,7.64677,15.4,70.83
653,5.3,7.50397,15.61,70.33
654,5.45,7.36855,15.36,71.04
655,5.46,7.23805,15.13,71.61
656,5.54,7.09836,14.86,71.88
657,0.89,30.28877,79.79,11.86
658,0.53,30.23067,81.36,7.93
659,0.95,30.10645,76.27,14.24
660,0.85,30.0187,73.19,12.8
661,0.79,29.93323,73.08,12.01
662,0.69,29.72368,76.22,11.29
663,0.64,29.43038,79.53,11.16
664,0.56,29.18226,81.81,10.41
665,0.43,28.87165,83.37,8.55
666,0.37,28.41479,84.12,7.59
667,0.36,28.02613,80.46,7.22
668,0.96,27.56459,64.04,18.04
669,0.8,27.09179,67.96,15.37
670,0.66,26.73906,68.12,12.95
671,0.55,26.38702,65.6,10.61
672,0.47,26.01696,74.99,10.13
673,0.57,25.65653,71.27,12.34
674,0.68,25.40733,63.84,12.83
675,0.77,24.92157,67.26,15.62
676,0.83,24.57104,61.83,16.07
677,4.26,4.85959,31.57,64.92
678,4.24,4.82028,31.63,65.56
679,4.59,4.80013,30.69,66.86
680,4.63,4.81705,30.77,66.37
681,4.38,4.89089,32.06,66.02
682,4.26,4.98609,32.77,63.96
683,4.58,5.03432,31.08,66.11
684,4.63,4.89589,30.91,66.21
685,5.07,4.93925,29.51,67.82
686,5.58,5.04052,26.4,70.94
687,5.81,5.07017,25.38,72.32
688,5.7,4.994,25.78,70.19
689,5.5,4.96406,24.5,70.68
690,5.45,4.87868,23.23,71.0
691,5.44,4.74971,24.41,71.02
692,5.52,4.6765,22.6,72.71
693,5.37,4.57861,22.2,73.32
694,5.18,4.479,21.26,73.51
695,5.28,4.47304,22.42,72.39
696,5.28,4.48368,22.32,72.54
697,6.56,5.17261,13.86,85.03
698,5.95,4.99008,14.39,82.2
699,4.9,4.79249,18.63,79.01
700,5.17,4.60393,16.64,81.33
701,5.24,4.42179,18.12,79.82
702,5.87,4.23497,13.39,84.99
703,5.91,3.99483,13.31,84.66
704,6.46,3.76514,12.39,86.43
705,6.48,3.59809,14.51,83.83
706,6.77,3.47135,13.75,82.83
707,6.75,3.35925,13.96,83.41
708,6.37,3.19981,12.05,81.97
709,6.43,3.09739,11.47,82.65
710,5.54,3.06955,8.83,85.05
711,5.63,3.09549,11.28,84.04
712,5.64,3.12863,10.94,83.1
713,5.65,3.11766,10.97,82.76
714,5.6,3.04643,10.97,82.85
715,5.65,3.02982,10.48,83.21
716,5.69,3.00766,11.46,81.54
717,2.18,4.39275,55.9,41.08
718,2.23,4.22679,55.22,41.83
719,2.49,4.08007,52.77,44.38
720,2.48,3.94211,47.65,43.95
721,2.23,3.79529,49.88,41.29
722,2.25,3.65518,49.83,41.47
723,2.34,3.50431,48.33,42.83
724,2.31,3.36527,48.8,43.16
725,2.5,3.23037,51.4,41.61
726,2.75,3.12119,49.92,42.53
727,2.98,3.01868,43.11,45.75
728,3.06,2.92865,41.37,47.4
729,3.01,2.86668,42.37,45.92
