,per_capita-HIV/AIDS,per_capita-Alcohol Use Disorders,per_capita-Diabetes Mellitus,per_capita-Protein-Energy Malnutrition,Mortality rate attributed to unintentional poisoning (per 100 000 population)
2430,-0.32588745973002314,-0.4195315795801737,1.5641690391116267,-0.36825068203749467,-0.5350797323554426
2431,-0.32148898270302817,-0.4207156604426619,1.5949584956216114,-0.3692763506574537,-0.687851827611739
2432,-0.32179246620094876,-0.42191535884689735,1.6249960219978965,-0.37031554742654377,-0.6934274958598716
2433,-0.3171492760527136,-0.42191535884689735,1.6710377157380338,-0.37031554742654377,-0.5410866342044656
2434,-0.3132311710042781,-0.42434071383689054,1.7058098887985076,-0.37241642633127453,-0.6978795272606136
2435,-0.36244782531445285,-0.5735817131077573,-0.6024156707401236,-0.5008701431501111,-0.27383720219348084
2436,-0.36140042805101,-0.5719172058607923,-0.6374622891846047,-0.5038621696858782,-0.2598251470208861
2437,-0.3603116412690667,-0.5694031481810501,-0.655557285139589,-0.506320595869707,-0.3015819217549949
2438,-0.35922230030018687,-0.5723014618526392,-0.6688667019017008,-0.5098152279992406,-0.38115363168831257
2439,-0.3583297537420408,-0.5741873650001034,-0.6843985968678563,-0.5139067812067916,-0.4227767847432722
2440,-0.3574619458971616,-0.5716977706361213,-0.6904937881611586,-0.5163425664797409,-0.41833082705521873
2441,-0.35677284531084125,-0.5684351056086766,-0.6971277947519047,-0.5183131496936138,-0.21915556685803628
2442,-0.35610411022617394,-0.5685720581896287,-0.7055018461536307,-0.5194943591125529,-0.28665880967911045
2443,-0.35549099383326416,-0.5678793767787731,-0.7140412389890933,-0.5209800452813524,-0.28168443898714896
2444,-0.35500292755241614,-0.5671929893391965,-0.7187275879535522,-0.522409917396728,-0.2692211805501466
2445,-0.35445215028122307,-0.5680796448683424,-0.7195535113988483,-0.5231069127409333,-0.25208116334292413
2446,-0.35377397295179364,-0.5689327121353335,-0.7252450939821644,-0.5237799776153755,-0.1260516250545231
2447,-0.35322342744806634,-0.5682432646037683,-0.7299385733213665,-0.5247647353287446,-0.23716412497972833
2448,-0.352760034081031,-0.5653295668894466,-0.7222118828528905,-0.5253969146432069,-0.13131753395553722
2449,-0.3523453409882096,-0.5632438918916214,-0.7113642788603125,-0.5256913415664585,-0.3824655536290496
2450,-0.3520431781515892,-0.5619470553258745,-0.7034891712972784,-0.5262923614709796,-0.2782588650307799
2451,-0.35178394980449085,-0.5592565490168555,-0.6911214883613187,-0.5265663957039657,-0.1802716582256342
2452,-0.35153476997190786,-0.5573582508825438,-0.6804508492188968,-0.5268348814968453,-0.414899179386161
2453,-0.3509819385792041,-0.5538230551101966,-0.657717275373322,-0.5268348814968453,-0.3098543184368649
2454,-0.35128384131909873,-0.5523639557460125,-0.6461716987524065,-0.5270560570437719,-0.3308875854774785
2455,-0.0956744878332639,-0.5235521365387019,-0.4922714592052721,0.3187065077418937,1.8770648933576672
2456,-0.07967239285497889,-0.5032296421634739,-0.3895532647280615,0.4606416970490968,1.0043756331218925
2457,-0.06773339321550127,-0.5022767857238937,-0.3772305714628981,0.36548528432016153,0.1695802663502784
2458,-0.059196653263142995,-0.5093997742305912,-0.40190273416430666,0.2100969636458697,1.6330231175298142
2459,-0.0555027780211054,-0.5047525259205858,-0.37656991771432136,0.2333170343333469,1.1078716973355962
2460,-0.056994656532000046,-0.5060236230624647,-0.3717317489077958,0.16419129462784865,1.041577123339553
2461,-0.06940974933282155,-0.5073027979169208,-0.375500888734085,0.08638575206282655,0.4844719006906232
2462,-0.13182275236794552,-0.5068061612902259,-0.37422094550246887,0.03837428788468959,1.414703514938172
2463,-0.1940027270688015,-0.5063936867653165,-0.36786456618170654,-0.004466114374845203,0.8562134857962418
2464,-0.20140174675279807,-0.502693208321184,-0.3476083025369369,-0.04245809465784831,0.7640631168848383
2465,-0.19387445120759425,-0.5123483420064887,-0.38666076048319287,-0.1355452591830982,1.186040379637848
2466,-0.1891530954728032,-0.51038119615568,-0.37305061871342987,-0.16323078966105786,1.1177293330291902
2467,-0.18330874612919576,-0.5116732765713936,-0.38031001054121083,-0.21060425285409962,1.0837712053872408
2468,-0.18138689268245886,-0.5099059988481746,-0.37086184257551125,-0.22616251995863196,0.5962342878735083
2469,-0.19393433886340186,-0.5067829710187433,-0.3530109092991956,-0.20642222501692029,0.1790491844318021
2470,-0.21078477358996311,-0.5067385344497505,-0.34615033893878183,-0.22342634905318398,0.13863470020187352
2471,-0.22908507102483627,-0.503910084079312,-0.33245006185664017,-0.23360518945818937,0.9119944631283224
2472,-0.24839972759825485,-0.5053814841743409,-0.33909424658320436,-0.25949829509726796,0.8391159845778393
2473,-0.2632851933004633,-0.5053814841743409,-0.32873058242937464,-0.29170777591783215,0.38751115132985037
2474,-0.27600797940675476,-0.5068972548846248,-0.3358744308320249,-0.3198883733266075,0.34616738905856614
2475,-0.3674913957155776,0.5264698604569094,0.702289521340402,-0.5383048670762864,-0.5306884380815865
2476,-0.36695917492628743,0.5109111264378582,0.7029419932926846,-0.5382536891422102,-0.37656190489573277
2477,-0.36621705263870324,0.5275874844387105,0.7155209626079799,-0.538249949250643,-0.6108067821568779
2478,-0.3649759702319913,0.5745519783884646,0.7953696449184634,-0.5370804288338046,-0.41336860378863444
2479,-0.36570376111039066,0.611481036239714,0.867785144553491,-0.5359036564215133,-0.4897030248589296
2480,-0.3667989574981974,0.6309903338786689,0.9812367577360838,-0.5347121612426127,-0.4647339919961047
2481,-0.36665349404412984,0.608348945739176,1.0298361187125884,-0.5346755248714855,-0.5771341190112926
2482,-0.3660054611476259,0.5968727665565118,1.1006660146755374,-0.533459626729617,-0.3402714715813619
2483,-0.36534810046075705,0.6077905482796244,1.2118698670144115,-0.5334069976437065,-0.7079801114617515
2484,-0.3644315249957676,0.5889177576241479,1.2489787197173423,-0.533351755154118,-0.4432877124926664
2485,-0.3632533886653282,0.56160792082836,1.2280907618453087,-0.5321048513971596,-0.47385063474168976
2486,-0.3611747611198168,0.5284820706670207,1.2037914965526246,-0.5320433862792309,-0.5223795991235849
