Drug Use Disorders,per_capita-Interpersonal Violence,per_capita-Cirrhosis and Other Chronic Liver Diseases,Total NCD Deaths (in thousands),Estimated road traffic death rate (per 100 000 population)
-0.1535450519544349,-0.1362599511732209,-0.1939591255305749,128362.7,0.4577331935094404
-0.1529706310770539,-0.1188694489448823,-0.1884424849919393,125004.8,-0.373615414565734
-0.1518217893222919,-0.1356164137593248,-0.1453047888350837,128016.2,0.384907806479844
-0.1503857371288393,-0.1386206695444656,-0.0700709757036296,136933.6,-0.9580803062073824
-0.1509601580062204,-0.1473049593595203,-0.0692670047880587,131977.9,-0.9753520133778748
-0.1503857371288393,-0.1491093375448129,-0.0768294138782826,132381.6,-0.3566031447182973
-0.1495241058127678,-0.1610333998376214,-0.0904806323583976,133026.4,-0.3158631696997081
-0.172500940908008,-0.3119543578677154,-0.2944900040971816,21893.17,-0.7726117237682835
-0.172500940908008,-0.3626130093984047,-0.1514968647252864,11024.78,0.9838820630253452
-0.172500940908008,-0.3609400595505688,0.0093142673896585,11912.19,0.1016338478383229
-0.172500940908008,-0.4008138053802149,0.1791260735009232,12095.29,0.0522052170870063
-0.1722137304693175,-0.3315002916562217,0.3634371746427483,11776.94,-0.6808723580520556
-0.1722137304693175,-0.2828110985720693,0.6252183797672527,12229.31,0.0376492865097846
-0.171926520030627,-0.2490610735782226,0.9444342393959456,12258.67,0.7250409468945642
-0.171926520030627,-0.1498283676300011,1.0525579279755164,12104.21,-0.559669394041472
-0.1716393095919365,-0.2507900718183635,1.2605351615745335,12655.53,0.9909467408993284
-0.171352099153246,-0.2684670103601932,1.3806348526521397,25304.88,0.93723739431759
-0.171352099153246,-0.2684356735076112,1.4675684113996847,25533.82,0.0146383600965622
-0.171352099153246,-0.2775805353542474,1.5472198060544096,13014.36,0.8897063147560607
-0.1716393095919365,-0.1525883978858611,1.506919040252639,25307.01,-0.0696879167252963
-0.1716393095919365,-0.2099498394620996,1.448134468077495,24953.42,-0.9097243490033164
-0.1716393095919365,-0.2196753917152533,1.483594963418242,12708.31,-0.1005069087266426
-0.1716393095919365,-0.2473073814781596,1.578615804662184,25459.13,-0.8726705459498129
-0.1716393095919365,-0.2571255621983586,1.6067433160037663,12914.23,0.4220755291271252
-0.1716393095919365,-0.2729042148116951,1.5425892298965616,24823.19,-0.7760708880756951
-0.171352099153246,-0.2729042148116951,1.5110995868742123,22805.0,0.2101144046605891
-0.171352099153246,-0.2779584149439603,1.4591356134803215,11224.78,-0.5988144947471727
0.0831163495265392,-0.5704811678614257,-1.068328239059348,112717.9,-0.665163927058951
0.0503743595158219,-0.5733773739906479,-1.0635194570222617,112802.5,-0.7093705501538862
0.0417580463551068,-0.5816460940775143,-1.0425724270688286,57004.15,-1.0682438795099856
0.0460662029354644,-0.5923412908986108,-1.0291928898684282,114548.3,-0.4599997278445263
0.0506615699545124,-0.6178475252953037,-1.035746436949798,56980.61,-0.8026108273063828
