Interpersonal Violence,Drug Use Disorders,gdp/percap,Domestic private health expenditure (PVT-D) per capita in US$,Deaths due to tuberculosis among HIV-negative people (per 100 000 population)
-0.3287851566993006,-0.114771642731217,2.0751997272918064,1.8385514180356208,-0.6476304949019367
-0.3291674260780164,-0.118792588872884,1.9349857977877645,1.732465863463651,-0.6547507500726415
-0.3294222723304937,-0.1228135350145511,2.0647780606151898,1.9139188744189424,-0.640955255679401
-0.3287851566993006,-0.1271216915949086,2.143676164244356,1.955646629508088,-0.6396202078348939
-0.3277657716893914,-0.1297065855431232,1.7581065301513974,1.6061106557075555,-0.6440703673165844
-0.3280206179418687,-0.1328659003687187,1.845035352522146,1.6577256439052448,-0.6574208457616557
-0.3284028873205846,-0.1351635838782427,1.9808064386650104,1.8159873985708808,-0.6592009095543319
-0.3287851566993006,-0.1343019525621712,2.2236578470990693,1.9170715647757568,-0.6529706862799652
-0.3289125798255392,-0.1340147421234807,2.15896710347464,1.8444936616400875,-0.6569758298134867
-0.2733560967854931,-0.1681927843276505,-0.6342556319418474,-0.4694325041715699,0.1680837380919228
-0.2816385999910046,-0.1670439425728885,-0.6332836493117612,-0.4689043047400618,0.0790805484581138
-0.2873726406717433,-0.166756732134198,-0.628941835113734,-0.466527407298275,0.0345789536412093
-0.2905582188277092,-0.166182311256817,-0.6229356130300294,-0.4640514724630805,-0.0544242359925996
-0.2922147194688115,-0.166182311256817,-0.6149113360436966,-0.4613774628410703,-0.1434274256264086
-0.2932341044787206,-0.1658951008181265,-0.5882699148519973,-0.4572343985501781,-0.2635817316320508
-0.2957825670034933,-0.1658951008181265,-0.5437109047030205,-0.4443430311749318,-0.3792858781560025
-0.2990955682856979,-0.1658951008181265,-0.4751659086154023,-0.4255094201952185,-0.4905398651982637
-0.2975664907708343,-0.1653206799407455,-0.3861467735303118,-0.3951049404190294,-0.423787472972907
-0.2964196826346865,-0.165033469502055,-0.4156564715920565,-0.3721942900773624,-0.3525849212658599
-0.294508335741107,-0.1647462590633645,-0.3698179674368448,-0.3516605371774822,-0.2813823695588126
-0.2941260663623911,-0.164459048624674,-0.300193818213991,-0.3167828684657083,-0.3570350807475502
-0.2928518351000047,-0.164459048624674,-0.2835839620476117,-0.2679574335156717,-0.472739227271502
-0.2919598732163342,-0.164459048624674,-0.2630935406719155,-0.2368101732889242,-0.4682890677898115
-0.291322757585141,-0.1641718381859835,-0.2612759618357175,-0.201767442254804,-0.4771893867531925
-0.2914501807113797,-0.164459048624674,-0.3954076508899842,-0.2389229710149569,-0.4148871540095261
-0.2918324500900956,-0.1641718381859835,-0.4667496278900181,-0.3079685404524157,-0.4148871540095261
-0.2914501807113797,-0.163884627747293,-0.4499514379600913,-0.3054595931527519,-0.4148871540095261
-0.2906856419539478,-0.1635974173086025,-0.4198808138533571,-0.2875668374104126,-0.4148871540095261
-0.2904307957014705,-0.1630229964312214,-0.4184740853539335,-0.2744773952483507,-0.4148871540095261
-0.3355385823899484,-0.1736497826627701,0.0556968424384192,-0.2188018739209425,-0.5661925763870015
-0.3354111592637097,-0.1736497826627701,0.0469672834338036,-0.2260646161041798,-0.6062440117222155
-0.3352837361374711,-0.1736497826627701,0.0338639594359622,-0.2147743532556927,-0.6062440117222155
-0.3351563130112324,-0.1736497826627701,0.07349243731902,-0.1393573781756666,-0.6640960849841914
-0.3347740436325165,-0.1736497826627701,0.1426291325038361,-0.1728815358442008,-0.6240446496489773
-0.3343917742538006,-0.1736497826627701,0.2433420934448486,-0.186268090186486,-0.6284948091306678
-0.3341369280013234,-0.1736497826627701,0.3145654680041508,-0.1879847383388876,-0.6543057341244725
-0.3340095048750847,-0.1736497826627701,0.4099152556716627,-0.0967052740813817,-0.6360600802495415
