,Interpersonal Violence,Drug Use Disorders,gdp/percap,Domestic private health expenditure (PVT-D) per capita in US$,Deaths due to tuberculosis among HIV-negative people (per 100 000 population)
2455,-0.3255995785433346,-0.17163930959193657,-0.6336157180162804,-0.46936647924263136,0.5685980914440634
2456,-0.3217768847561755,-0.17106488871455555,-0.6318151070481981,-0.46829357414738043,0.5685980914440634
2457,-0.3215220385036982,-0.17106488871455555,-0.6301328178308023,-0.4639689413019073,0.6130996862609679
2458,-0.3225414235136073,-0.17106488871455555,-0.6220879292563211,-0.4550390696629722,0.43509330699334986
2459,-0.3210123459987437,-0.17106488871455555,-0.6167968530062262,-0.44736367167386915,0.43509330699334986
2460,-0.32063007662002774,-0.17077767827586507,-0.6135589777758279,-0.4610143257319084,0.34609011735954087
2461,-0.3050844552189139,-0.17077767827586507,-0.6117414989189212,-0.46058516369380803,0.30158852254263635
2462,-0.32024780724131185,-0.17077767827586507,-0.6026580213078693,-0.45360302745855935,0.2570869277257319
2463,-0.3196106916101186,-0.17049046783717456,-0.5915797376096139,-0.4472481280482267,0.16808373809192284
2464,-0.31859130660020957,-0.17020325739848405,-0.5966669405912242,-0.44412845015588165,0.16808373809192284
2465,-0.31999296098883456,-0.17049046783717456,-0.5984348042300848,-0.4413719093726983,0.21258533290882736
2466,-0.3193558453576414,-0.17020325739848405,-0.5932435341257102,-0.4336634989191259,0.21258533290882736
2467,-0.3193558453576414,-0.17020325739848405,-0.5956503596538673,-0.4334819303645451,0.07908054845811384
2468,-0.31820903722149363,-0.16991604695979357,-0.592525072319363,-0.42762221792125127,-0.00992264117569517
2469,-0.3161702672016754,-0.16962883652110305,-0.5909717058873583,-0.4332508431132602,-0.00992264117569517
2470,-0.31553315157048223,-0.16934162608241254,-0.600379447919176,-0.44046406659979365,-0.00992264117569517
2471,-0.3142589203080959,-0.16905441564372203,-0.597389562270759,-0.43965526122029674,0.07908054845811384
2472,-0.31413149718185723,-0.16876720520503155,-0.5920839595600115,-0.4372948700107446,0.03457895364120934
2473,-0.31247499654075495,-0.16876720520503155,-0.584475032035914,-0.43424121704733804,0.07908054845811384
2474,-0.3140040740556186,-0.16847999476634104,-0.5873234762226841,-0.4354791844649353,0.03457895364120934
2475,-0.2776884830776068,-0.16216136511514997,-0.6028547778378011,-0.45886851554140656,-0.6010818267234547
2476,-0.2820208693697205,-0.16129973379907847,-0.5816262532329941,-0.4296359782538761,-0.6010818267234547
2477,-0.2849516012732092,-0.16129973379907847,-0.5548430601665204,-0.411512135260252,-0.6010818267234547
2478,-0.28826460255541375,-0.15986368160562597,-0.5197772477872424,-0.381190186645236,-0.6010818267234547
2479,-0.2924695657212888,-0.15699157721872092,-0.4950743897558747,-0.3506371507789352,-0.6010818267234547
2480,-0.2961648363822093,-0.1544066832705064,-0.47545166686494134,-0.31970447157123794,-0.5394916194968588
2481,-0.29896814515945935,-0.1535450519544349,-0.4391298842689958,-0.26543197998377327,-0.5661925763870015
2482,-0.3010069151792775,-0.1523962101996729,-0.36258464080121194,-0.1442432229171172,-0.5572922574236205
2483,-0.30304568519909575,-0.15124736844491088,-0.29996919450926973,-0.07054289598949261,-0.5839932143137633
2484,-0.30495703209267533,-0.1518217893222919,-0.3473337549548364,-0.12986629464075414,-0.5884433737954538
2485,-0.30686837898625485,-0.1541194728318159,-0.37274985763207186,-0.14815519995672455,-0.5928935332771442
2486,-0.3077603408699253,-0.15584273546395894,-0.3148791229847654,-0.10223486187998289,-0.6017938522405252
2487,-0.30852487962735714,-0.15612994590264942,-0.35613892897697763,-0.14792411270543973,-0.5973436927588346
2488,-0.30928941838478896,-0.15670436678003044,-0.3179831169046564,-0.08232834580501866,-0.6062440117222155
2489,-0.31018138026845943,-0.15670436678003044,-0.3260194892300316,-0.07721141381228326,-0.6195944901672868
2490,-0.310691072773414,-0.15699157721872092,-0.378325073035029,-0.1512748778490697,-0.6329449686123583
2491,-0.31145561153084583,-0.15727878765741143,-0.36941991105054806,-0.15398189993554906,-0.6284948091306678
2492,-0.3117104577833231,-0.15612994590264942,-0.34245266247426864,-0.13069160625248566,-0.6284948091306678
2493,-0.31183788090956177,-0.15469389370919692,-0.2950135110004865,-0.08421005627976655,-0.6284948091306678
2494,-0.31196530403580036,-0.1535450519544349,-0.28506919563653044,-0.06780286143854397,-0.6445153832647534
2495,-0.3299319648354483,-0.17307536178538907,-0.6538851373671014,-0.46180662487917074,2.571169858204766
2496,-0.3292948492042551,-0.17307536178538907,-0.6527863670856374,-0.4613279441443664,2.5266682633878617
2497,-0.32891257982553923,-0.17307536178538907,-0.6515595529145382,-0.4582412787164905,2.6601730478385752
2498,-0.32840288732058465,-0.1727881513466986,-0.6506495161375291,-0.45713536115677034,2.6156714530216707
2499,-0.3278931948156301,-0.1727881513466986,-0.6504588087749384,-0.4585383908967139,2.6156714530216707
2500,-0.3275109254369142,-0.1727881513466986,-0.6489297187736472,-0.4552701569142571,2.793677832289289
2501,-0.3271286560581983,-0.1727881513466986,-0.646366658674279,-0.45256313482777766,2.0816523152188164
2502,-0.32623669417452783,-0.17250094090800808,-0.643865773168099,-0.4473966841383384,2.2596586944864345
2503,-0.32623669417452783,-0.17250094090800808,-0.640684976369141,-0.44062912892213996,1.948147530768103
2504,-0.32572700166957325,-0.17250094090800808,-0.6418197649814559,-0.44084370994119015,1.8146427463173895
2505,-0.3248350397859028,-0.17250094090800808,-0.6411261165774258,-0.4444750810328088,1.5921347722328671
2506,-0.3244527704071869,-0.17221373046931757,-0.6381476534782232,-0.42214214881935397,1.6811379618666762
2507,-0.3236882316497551,-0.17221373046931757,-0.6306025374111527,-0.41839523410209284,1.5921347722328671
